MaterialsName                 0.01kPa        

str_m1_o10_o16_pcu_s_ID_1     -18.8940       
str_m1_o10_o16_pcu_s_ID_10    -44.2170       
str_m1_o10_o16_pcu_s_ID_100   -7.0663        
str_m1_o10_o16_pcu_s_ID_101   -52.8807       
str_m1_o10_o16_pcu_s_ID_102   -30.7796       
str_m1_o10_o16_pcu_s_ID_103   -25.8723       
str_m1_o10_o16_pcu_s_ID_104   -40.1302       
str_m1_o10_o16_pcu_s_ID_105   -33.1749       
str_m1_o10_o16_pcu_s_ID_106   -42.8609       
str_m1_o10_o16_pcu_s_ID_107   -11.3871       
str_m1_o10_o16_pcu_s_ID_108   -13.7357       
str_m1_o10_o16_pcu_s_ID_109   -21.7170       
str_m1_o10_o16_pcu_s_ID_11    -48.5990       
str_m1_o10_o16_pcu_s_ID_110   -23.3780       
str_m1_o10_o16_pcu_s_ID_111   -49.5347       
str_m1_o10_o16_pcu_s_ID_112   -27.9634       
str_m1_o10_o16_pcu_s_ID_113   -23.1082       
str_m1_o10_o16_pcu_s_ID_114   -13.6410       
str_m1_o10_o16_pcu_s_ID_115   -32.4234       
str_m1_o10_o16_pcu_s_ID_116   -11.3364       
str_m1_o10_o16_pcu_s_ID_117   -11.8525       
str_m1_o10_o16_pcu_s_ID_118   -23.9260       
str_m1_o10_o16_pcu_s_ID_119   -35.5555       
str_m1_o10_o16_pcu_s_ID_12    -13.1496       
str_m1_o10_o16_pcu_s_ID_120   -28.5508       
str_m1_o10_o16_pcu_s_ID_121   -8.7783        
str_m1_o10_o16_pcu_s_ID_122   -8.5641        
str_m1_o10_o16_pcu_s_ID_123   -35.0832       
str_m1_o10_o16_pcu_s_ID_124   -10.0657       
str_m1_o10_o16_pcu_s_ID_125   -19.9003       
str_m1_o10_o16_pcu_s_ID_126   -16.7676       
str_m1_o10_o16_pcu_s_ID_127   -12.9702       
str_m1_o10_o16_pcu_s_ID_128   -14.1073       
str_m1_o10_o16_pcu_s_ID_129   -24.7560       
str_m1_o10_o16_pcu_s_ID_13    -12.5148       
str_m1_o10_o16_pcu_s_ID_130   -14.8984       
str_m1_o10_o16_pcu_s_ID_131   -6.0541        
str_m1_o10_o16_pcu_s_ID_132   -12.3988       
str_m1_o10_o16_pcu_s_ID_133   -6.4180        
str_m1_o10_o16_pcu_s_ID_134   -9.5159        
str_m1_o10_o16_pcu_s_ID_135   -23.8504       
str_m1_o10_o16_pcu_s_ID_136   -15.9795       
str_m1_o10_o16_pcu_s_ID_137   -8.2812        
str_m1_o10_o16_pcu_s_ID_138   -39.6854       
str_m1_o10_o16_pcu_s_ID_139   -15.3325       
str_m1_o10_o16_pcu_s_ID_14    -16.9292       
str_m1_o10_o16_pcu_s_ID_140   -34.1336       
str_m1_o10_o16_pcu_s_ID_141   -33.4654       
