MaterialsName                 10.0kPa        100.0kPa       

str_m1_o10_o16_pcu_s_ID_1     -53.2819       -56.8197       
str_m1_o10_o16_pcu_s_ID_10    -63.6449       -64.0639       
str_m1_o10_o16_pcu_s_ID_100   -49.7556       -54.5591       
str_m1_o10_o16_pcu_s_ID_101   -57.8473       -57.3565       
str_m1_o10_o16_pcu_s_ID_102   -50.3652       -55.2126       
str_m1_o10_o16_pcu_s_ID_103   -56.2427       -58.9171       
str_m1_o10_o16_pcu_s_ID_104   -53.3781       -53.4056       
str_m1_o10_o16_pcu_s_ID_105   -54.3356       -54.9357       
str_m1_o10_o16_pcu_s_ID_106   -57.9312       -57.8308       
str_m1_o10_o16_pcu_s_ID_107   -48.0535       -54.8506       
str_m1_o10_o16_pcu_s_ID_108   -50.9413       -54.4686       
str_m1_o10_o16_pcu_s_ID_109   -51.5771       -54.6062       
str_m1_o10_o16_pcu_s_ID_11    -56.6780       -57.4271       
str_m1_o10_o16_pcu_s_ID_110   -53.8992       -56.2988       
str_m1_o10_o16_pcu_s_ID_111   -99.8353       -98.1472       
str_m1_o10_o16_pcu_s_ID_112   -51.7919       -56.5754       
str_m1_o10_o16_pcu_s_ID_113   -51.8656       -55.8403       
str_m1_o10_o16_pcu_s_ID_114   -48.4852       -54.0226       
str_m1_o10_o16_pcu_s_ID_115   -51.9622       -55.7405       
str_m1_o10_o16_pcu_s_ID_116   -50.4877       -55.3371       
str_m1_o10_o16_pcu_s_ID_117   -50.6989       -54.5402       
str_m1_o10_o16_pcu_s_ID_118   -59.4056       -60.3891       
str_m1_o10_o16_pcu_s_ID_119   -53.4950       -56.0930       
str_m1_o10_o16_pcu_s_ID_12    -38.9952       -45.8077       
str_m1_o10_o16_pcu_s_ID_120   -52.7627       -56.8607       
str_m1_o10_o16_pcu_s_ID_121   -50.9336       -53.8020       
str_m1_o10_o16_pcu_s_ID_122   -47.0128       -53.3458       
str_m1_o10_o16_pcu_s_ID_123   -55.9716       -58.3326       
str_m1_o10_o16_pcu_s_ID_124   -47.2454       -53.2684       
str_m1_o10_o16_pcu_s_ID_125   -46.7491       -51.0158       
str_m1_o10_o16_pcu_s_ID_126   -52.4263       -54.9444       
str_m1_o10_o16_pcu_s_ID_127   -50.9003       -55.4302       
str_m1_o10_o16_pcu_s_ID_128   -58.6438       -60.3782       
str_m1_o10_o16_pcu_s_ID_129   -54.7565       -57.1066       
str_m1_o10_o16_pcu_s_ID_13    -43.9191       -50.7155       
str_m1_o10_o16_pcu_s_ID_130   -52.0440       -56.6497       
str_m1_o10_o16_pcu_s_ID_131   -49.5438       -55.5128       
str_m1_o10_o16_pcu_s_ID_132   -49.1474       -54.5606       
str_m1_o10_o16_pcu_s_ID_133   -49.5552       -55.3034       
str_m1_o10_o16_pcu_s_ID_134   -50.3112       -55.1366       
str_m1_o10_o16_pcu_s_ID_135   -46.7283       -52.5776       
str_m1_o10_o16_pcu_s_ID_136   -49.0585       -52.7912       
str_m1_o10_o16_pcu_s_ID_137   -52.1511       -55.2159       
str_m1_o10_o16_pcu_s_ID_138   -58.3438       -58.7612       
str_m1_o10_o16_pcu_s_ID_139   -51.1324       -55.0271       
str_m1_o10_o16_pcu_s_ID_14    -50.6356       -53.4147       
str_m1_o10_o16_pcu_s_ID_140   -56.9407       -56.8542       
str_m1_o10_o16_pcu_s_ID_141   -49.9516       -51.6309       
str_m1_o10_o16_pcu_s_ID_142   -50.3375       -56.1779       
str_m1_o10_o16_pcu_s_ID_143   -49.3719       -55.7599       
str_m1_o10_o16_pcu_s_ID_144   -52.2133       -54.0756       
str_m1_o10_o16_pcu_s_ID_145   -59.1217       -59.9469       
str_m1_o10_o16_pcu_s_ID_146   -48.2274       -52.2069       
str_m1_o10_o16_pcu_s_ID_147   -49.7106       -54.0721       
str_m1_o10_o16_pcu_s_ID_148   -47.4769       -53.9669       
str_m1_o10_o16_pcu_s_ID_149   -59.2568       -59.9236       
str_m1_o10_o16_pcu_s_ID_15    -50.1464       -54.7729       
str_m1_o10_o16_pcu_s_ID_150   -492.5107      -603.2414      
str_m1_o10_o16_pcu_s_ID_151   -51.4906       -54.2613       
str_m1_o10_o16_pcu_s_ID_152   -53.7454       -56.4372       
str_m1_o10_o16_pcu_s_ID_153   -58.6292       -60.3321       
str_m1_o10_o16_pcu_s_ID_154   -54.4756       -56.1523       
str_m1_o10_o16_pcu_s_ID_155   -51.8396       -56.2593       
str_m1_o10_o16_pcu_s_ID_156   -48.7475       -53.4962       
str_m1_o10_o16_pcu_s_ID_157   -76.2029       -76.1761       
str_m1_o10_o16_pcu_s_ID_158   -49.1371       -50.5892       
str_m1_o10_o16_pcu_s_ID_159   -54.4173       -57.5990       
str_m1_o10_o16_pcu_s_ID_16    -53.9137       -55.3841       
str_m1_o10_o16_pcu_s_ID_160   -48.9110       -53.6873       
str_m1_o10_o16_pcu_s_ID_161   -58.7664       -59.9404       
str_m1_o10_o16_pcu_s_ID_162   -53.4890       -56.2963       
str_m1_o10_o16_pcu_s_ID_163   -49.8557       -53.5077       
str_m1_o10_o16_pcu_s_ID_164   -66.2531       -67.5970       
str_m1_o10_o16_pcu_s_ID_165   -55.4796       -57.3769       
str_m1_o10_o16_pcu_s_ID_166   -60.5280       -60.4845       
str_m1_o10_o16_pcu_s_ID_167   -52.8162       -54.3070       
str_m1_o10_o16_pcu_s_ID_168   -49.7691       -54.5853       
