MaterialsName                9.99kPa        

str_m2_o10_o16_pcu_s_ID_1     18.0003        
str_m2_o10_o16_pcu_s_ID_10    16.2514        
str_m2_o10_o16_pcu_s_ID_100   25.3296        
str_m2_o10_o16_pcu_s_ID_101   18.0000        
str_m2_o10_o16_pcu_s_ID_102   18.0000        
str_m2_o10_o16_pcu_s_ID_103   2.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         
str_m2_o10_o16_pcu_s_ID_105   6.1903         
str_m2_o10_o16_pcu_s_ID_106   18.0000        
str_m2_o10_o16_pcu_s_ID_107   18.0000        
str_m2_o10_o16_pcu_s_ID_108   1.0000         
str_m2_o10_o16_pcu_s_ID_109   22.5838        
str_m2_o10_o16_pcu_s_ID_11    19.0000        
str_m2_o10_o16_pcu_s_ID_110   18.0000        
str_m2_o10_o16_pcu_s_ID_111   33.7144        
str_m2_o10_o16_pcu_s_ID_112   18.0000        
str_m2_o10_o16_pcu_s_ID_113   18.0000        
str_m2_o10_o16_pcu_s_ID_114   0.0000         
str_m2_o10_o16_pcu_s_ID_115   26.3304        
str_m2_o10_o16_pcu_s_ID_116   18.6041        
str_m2_o10_o16_pcu_s_ID_117   18.0000        
str_m2_o10_o16_pcu_s_ID_118   18.0085        
str_m2_o10_o16_pcu_s_ID_119   21.0000        
str_m2_o10_o16_pcu_s_ID_12    21.6369        
str_m2_o10_o16_pcu_s_ID_120   5.4372         
str_m2_o10_o16_pcu_s_ID_121   21.3838        
str_m2_o10_o16_pcu_s_ID_122   16.9871        
str_m2_o10_o16_pcu_s_ID_123   0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         
str_m2_o10_o16_pcu_s_ID_125   35.0788        
str_m2_o10_o16_pcu_s_ID_126   18.8249        
str_m2_o10_o16_pcu_s_ID_127   0.0000         
str_m2_o10_o16_pcu_s_ID_128   19.4778        
str_m2_o10_o16_pcu_s_ID_129   21.7680        
str_m2_o10_o16_pcu_s_ID_13    35.8732        
str_m2_o10_o16_pcu_s_ID_130   0.0000         
