MaterialsName                9.99kPa        99.9kPa        

str_m1_o10_o16_pcu_s_ID_1     83.7404        97.8886        
str_m1_o10_o16_pcu_s_ID_10    85.7669        90.7412        
str_m1_o10_o16_pcu_s_ID_100   88.9913        112.0248       
str_m1_o10_o16_pcu_s_ID_101   27.0697        33.1757        
str_m1_o10_o16_pcu_s_ID_102   71.2890        89.6919        
str_m1_o10_o16_pcu_s_ID_103   86.5712        92.7651        
str_m1_o10_o16_pcu_s_ID_104   29.8105        42.6280        
str_m1_o10_o16_pcu_s_ID_105   69.3341        71.9168        
str_m1_o10_o16_pcu_s_ID_106   52.6832        59.1718        
str_m1_o10_o16_pcu_s_ID_107   76.1250        99.9564        
str_m1_o10_o16_pcu_s_ID_108   79.5837        99.8855        
str_m1_o10_o16_pcu_s_ID_109   77.0805        90.7622        
str_m1_o10_o16_pcu_s_ID_11    38.2854        45.3740        
str_m1_o10_o16_pcu_s_ID_110   83.9553        90.2749        
str_m1_o10_o16_pcu_s_ID_111   79.4208        81.1742        
str_m1_o10_o16_pcu_s_ID_112   75.5271        89.8155        
str_m1_o10_o16_pcu_s_ID_113   80.1445        93.5058        
str_m1_o10_o16_pcu_s_ID_114   72.1542        95.8788        
str_m1_o10_o16_pcu_s_ID_115   60.9000        78.5742        
str_m1_o10_o16_pcu_s_ID_116   82.9247        102.0678       
str_m1_o10_o16_pcu_s_ID_117   84.7580        102.1876       
str_m1_o10_o16_pcu_s_ID_118   79.5290        88.3260        
str_m1_o10_o16_pcu_s_ID_119   64.2531        84.6852        
str_m1_o10_o16_pcu_s_ID_12    3.3627         11.8780        
str_m1_o10_o16_pcu_s_ID_120   68.7632        82.9599        
str_m1_o10_o16_pcu_s_ID_121   86.3569        106.2405       
str_m1_o10_o16_pcu_s_ID_122   76.1388        103.2195       
str_m1_o10_o16_pcu_s_ID_123   71.7247        83.9320        
str_m1_o10_o16_pcu_s_ID_124   68.7496        104.6287       
str_m1_o10_o16_pcu_s_ID_125   57.9994        76.6880        
str_m1_o10_o16_pcu_s_ID_126   83.7010        92.7113        
str_m1_o10_o16_pcu_s_ID_127   83.7630        100.1522       
str_m1_o10_o16_pcu_s_ID_128   82.8044        93.3564        
str_m1_o10_o16_pcu_s_ID_129   84.0182        92.4360        
str_m1_o10_o16_pcu_s_ID_13    62.5423        80.0947        
str_m1_o10_o16_pcu_s_ID_130   81.3395        97.1839        
str_m1_o10_o16_pcu_s_ID_131   88.1386        111.9837       
str_m1_o10_o16_pcu_s_ID_132   78.2911        99.7310        
str_m1_o10_o16_pcu_s_ID_133   84.8338        106.6332       
str_m1_o10_o16_pcu_s_ID_134   83.7331        107.0064       
str_m1_o10_o16_pcu_s_ID_135   53.8558        69.4874        
str_m1_o10_o16_pcu_s_ID_136   78.3278        99.1577        
str_m1_o10_o16_pcu_s_ID_137   88.8798        111.3120       
str_m1_o10_o16_pcu_s_ID_138   68.1150        72.7615        
str_m1_o10_o16_pcu_s_ID_139   78.8625        99.7054        
str_m1_o10_o16_pcu_s_ID_14    85.5862        96.5576        
str_m1_o10_o16_pcu_s_ID_140   71.3953        73.0680        
str_m1_o10_o16_pcu_s_ID_141   46.9303        53.4108        
str_m1_o10_o16_pcu_s_ID_142   88.2649        108.3576       
str_m1_o10_o16_pcu_s_ID_143   79.1143        95.7900        
str_m1_o10_o16_pcu_s_ID_144   81.3542        92.3533        
str_m1_o10_o16_pcu_s_ID_145   87.2136        95.1898        
str_m1_o10_o16_pcu_s_ID_146   77.9506        96.8980        
str_m1_o10_o16_pcu_s_ID_147   85.3218        104.5866       
str_m1_o10_o16_pcu_s_ID_148   76.1801        100.6430       
str_m1_o10_o16_pcu_s_ID_149   86.3623        95.5747        
str_m1_o10_o16_pcu_s_ID_15    80.2326        98.9082        
str_m1_o10_o16_pcu_s_ID_150   76.3663        86.6349        
str_m1_o10_o16_pcu_s_ID_151   76.6359        89.8233        
str_m1_o10_o16_pcu_s_ID_152   88.3268        104.7635       
str_m1_o10_o16_pcu_s_ID_153   63.7498        66.5335        
str_m1_o10_o16_pcu_s_ID_154   54.6015        66.3338        
str_m1_o10_o16_pcu_s_ID_155   77.6288        100.5090       
str_m1_o10_o16_pcu_s_ID_156   76.4694        101.4245       
str_m1_o10_o16_pcu_s_ID_157   70.5007        72.9389        
str_m1_o10_o16_pcu_s_ID_158   49.2213        60.6470        
str_m1_o10_o16_pcu_s_ID_159   79.5477        95.7718        
str_m1_o10_o16_pcu_s_ID_16    72.2431        85.1736        
