Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m1_o10_o16_pcu_sym.135                          str_m1_o10_o16_pcu_s_ID_41                          1440              96.3800,74.2100,98.8000     32.5250,32.5070,31.1510      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.136                          str_m1_o10_o16_pcu_s_ID_42                          1170              96.3200,74.9300,98.7300     32.5260,32.5810,30.9660      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.137                          str_m1_o10_o16_pcu_s_ID_43                          1206              96.8800,74.8400,98.3500     32.7350,32.6670,30.7650      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.138                          str_m1_o10_o16_pcu_s_ID_44                          1062              96.3400,74.5900,98.7200     32.7480,32.6540,31.1370      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.139                          str_m1_o10_o16_pcu_s_ID_45                          1152              95.8900,74.4800,98.1600     32.7020,32.4630,31.0470      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.14                           str_m1_o10_o16_pcu_s_ID_46                          1224              96.7200,74.9000,98.4600     32.5230,32.5190,30.9710      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.140                          str_m1_o10_o16_pcu_s_ID_47                          1098              96.4300,74.1000,98.5100     32.5490,32.7550,30.9430      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.141                          str_m1_o10_o16_pcu_s_ID_48                          1548              95.9800,74.4600,98.1200     32.5710,32.4290,31.2110      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.142                          str_m1_o10_o16_pcu_s_ID_49                          1026              96.6600,75.1000,98.6000     32.5250,32.5110,31.0790      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.143                          str_m1_o10_o16_pcu_s_ID_50                          1278              96.2900,74.0200,98.3300     32.5140,32.6470,30.9500      1,1,1         O,H,Zn,Cl,C         
str_m1_o10_o16_pcu_sym.144                          str_m1_o10_o16_pcu_s_ID_51                          954               96.4100,74.0900,98.4400     32.5990,32.5320,30.9670      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.145                          str_m1_o10_o16_pcu_s_ID_52                          1224              96.2700,74.4200,97.7400     32.6420,32.7500,30.9340      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.146                          str_m1_o10_o16_pcu_s_ID_53                          990               96.0900,74.5100,98.4200     32.5500,32.5120,31.0850      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.147                          str_m1_o10_o16_pcu_s_ID_54                          1314              96.5300,74.7300,98.7300     32.5290,32.6330,30.9430      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.148                          str_m1_o10_o16_pcu_s_ID_55                          1278              96.4400,75.2900,99.0000     32.6730,32.5640,30.9370      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.149                          str_m1_o10_o16_pcu_s_ID_56                          1170              96.6500,75.0300,98.6100     32.4940,32.5790,31.1360      1,1,1         S,O,H,Zn,F,C        
str_m1_o10_o16_pcu_sym.15                           str_m1_o10_o16_pcu_s_ID_57                          1278              97.0900,74.8200,99.0400     32.6210,32.7270,30.7200      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.150                          str_m1_o10_o16_pcu_s_ID_58                          990               96.7800,75.0300,98.6000     32.5300,32.5080,31.0580      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.151                          str_m1_o10_o16_pcu_s_ID_59                          954               96.8900,74.8700,98.6500     32.5630,32.5960,30.8450      1,1,1         O,H,Br,Zn,F,C       
str_m1_o10_o16_pcu_sym.152                          str_m1_o10_o16_pcu_s_ID_60                          1098              96.0500,74.8600,99.0100     32.7580,32.5480,30.9820      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.153                          str_m1_o10_o16_pcu_s_ID_61                          1008              96.0600,74.3500,98.4100     32.7570,32.4930,30.9560      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.154                          str_m1_o10_o16_pcu_s_ID_62                          1044              96.0700,74.2300,98.5200     32.5830,32.5070,31.0960      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.155                          str_m1_o10_o16_pcu_s_ID_63                          1386              96.3200,74.4800,97.8600     32.5990,32.5930,31.0460      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.157                          str_m1_o10_o16_pcu_s_ID_64                          1170              96.7700,74.8300,98.4500     32.5440,32.5070,31.0470      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.158                          str_m1_o10_o16_pcu_s_ID_65                          1008              96.8700,74.9900,98.4300     32.4970,32.6530,31.0100      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.159                          str_m1_o10_o16_pcu_s_ID_66                          1134              96.6300,74.4900,98.3900     32.7040,32.6420,31.0670      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.16                           str_m1_o10_o16_pcu_s_ID_67                          1098              96.5300,74.7400,99.1200     32.6880,32.7030,31.0050      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.160                          str_m1_o10_o16_pcu_s_ID_68                          1404              95.8700,74.9000,98.3600     32.8270,32.4790,31.2310      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.161                          str_m1_o10_o16_pcu_s_ID_69                          1170              96.1500,74.3100,98.6300     32.5750,32.5310,31.0210      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.162                          str_m1_o10_o16_pcu_s_ID_70                          954               96.4800,75.0400,98.5200     32.5180,32.5130,31.0890      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.163                          str_m1_o10_o16_pcu_s_ID_71                          954               96.0800,74.4600,98.4000     32.5490,32.5090,31.0990      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.164                          str_m1_o10_o16_pcu_s_ID_72                          1062              96.6800,75.0300,98.5300     32.5270,32.5260,31.0800      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.165                          str_m1_o10_o16_pcu_s_ID_73                          1116              96.3600,74.7800,98.4600     32.6980,32.5800,31.0230      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.166                          str_m1_o10_o16_pcu_s_ID_74                          1368              96.9000,74.6500,98.1900     32.6640,32.5200,31.0670      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.167                          str_m1_o10_o16_pcu_s_ID_75                          954               96.6700,75.0500,98.5900     32.5220,32.5240,31.0970      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.168                          str_m1_o10_o16_pcu_s_ID_76                          1674              96.4700,75.3800,98.1300     32.6910,32.5560,30.9330      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.169                          str_m1_o10_o16_pcu_s_ID_77                          1026              97.0000,75.0000,98.5500     32.4980,32.6610,31.0550      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.17                           str_m1_o10_o16_pcu_s_ID_78                          1224              96.6500,74.8000,98.6100     32.7200,32.4700,31.1400      1,1,1         O,H,N,Zn,Cl,C       
str_m1_o10_o16_pcu_sym.170                          str_m1_o10_o16_pcu_s_ID_79                          1134              96.0400,74.4100,98.4400     32.5350,32.5070,31.0760      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.171                          str_m1_o10_o16_pcu_s_ID_80                          1026              96.8100,74.9400,98.7100     32.5530,32.5420,31.0520      1,1,1         S,O,H,Zn,Cl,C       
str_m1_o10_o16_pcu_sym.172                          str_m1_o10_o16_pcu_s_ID_81                          972               95.9600,74.3800,98.5700     32.5500,32.5380,31.0850      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.173                          str_m1_o10_o16_pcu_s_ID_82                          1314              96.6100,75.1800,98.5200     32.6680,32.4590,31.0650      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.174                          str_m1_o10_o16_pcu_s_ID_83                          1278              96.3500,74.5500,98.6700     32.5480,32.5160,30.9920      1,1,1         S,O,H,N,Zn,C        
str_m1_o10_o16_pcu_sym.175                          str_m1_o10_o16_pcu_s_ID_84                          1458              96.4400,74.8600,98.8500     32.8240,32.4670,30.7730      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.176                          str_m1_o10_o16_pcu_s_ID_85                          954               96.7500,75.0600,98.6300     32.5320,32.5320,31.0580      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.177                          str_m1_o10_o16_pcu_s_ID_86                          1224              96.7000,75.0800,98.8900     32.5290,32.5600,31.0270      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.178                          str_m1_o10_o16_pcu_s_ID_87                          1224              97.2100,74.4400,98.9900     32.5640,32.7840,30.9030      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.179                          str_m1_o10_o16_pcu_s_ID_88                          1170              97.1200,75.0400,99.0500     32.5930,32.7570,30.8240      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.18                           str_m1_o10_o16_pcu_s_ID_89                          1026              96.4200,74.1400,98.4400     32.5430,32.6390,31.0030      1,1,1         O,H,Zn,Cl,C         
str_m1_o10_o16_pcu_sym.180                          str_m1_o10_o16_pcu_s_ID_90                          954               97.1500,74.9200,98.5300     32.5020,32.6450,31.0210      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.181                          str_m1_o10_o16_pcu_s_ID_91                          1170              97.0100,74.5600,98.9000     32.5420,32.7920,30.9480      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.182                          str_m1_o10_o16_pcu_s_ID_92                          1350              96.5400,75.0500,98.1000     32.6950,32.4740,31.0110      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.183                          str_m1_o10_o16_pcu_s_ID_93                          2358              96.0900,74.7400,97.8500     32.5510,32.4540,31.0580      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.184                          str_m1_o10_o16_pcu_s_ID_94                          1314              95.9000,74.8500,98.5400     32.6270,32.5650,30.9710      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.185                          str_m1_o10_o16_pcu_s_ID_95                          954               96.0800,74.3200,98.5000     32.5740,32.5070,31.0960      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.186                          str_m1_o10_o16_pcu_s_ID_96                          1386              96.3200,74.1400,97.7300     32.4520,32.6630,31.0160      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.187                          str_m1_o10_o16_pcu_s_ID_97                          1134              96.5700,75.2700,98.4800     32.6600,32.4890,30.9490      1,1,1         O,H,Zn,Cl,C         
str_m1_o10_o16_pcu_sym.188                          str_m1_o10_o16_pcu_s_ID_98                          1026              96.7100,75.1200,98.6500     32.5220,32.5180,31.0690      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.189                          str_m1_o10_o16_pcu_s_ID_99                          1332              96.7600,74.9100,98.3000     32.6510,32.6190,31.0250      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.19                           str_m1_o10_o16_pcu_s_ID_100                         990               95.9600,74.4400,98.6100     32.5530,32.5430,31.0880      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.190                          str_m1_o10_o16_pcu_s_ID_101                         2142              97.3200,74.1000,98.9200     32.4740,32.7820,30.9520      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.191                          str_m1_o10_o16_pcu_s_ID_102                         1206              96.6300,74.4800,99.1600     32.6150,32.5990,30.8770      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.192                          str_m1_o10_o16_pcu_s_ID_103                         954               95.8300,74.4900,98.2500     32.6800,32.5150,30.9130      1,1,1         O,H,Zn,Cl,C,I       
str_m1_o10_o16_pcu_sym.193                          str_m1_o10_o16_pcu_s_ID_104                         1980              96.7400,74.1000,98.3500     32.7320,32.5490,31.1270      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.194                          str_m1_o10_o16_pcu_s_ID_105                         1494              95.5900,74.1000,97.9500     32.6900,32.4430,31.3050      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.195                          str_m1_o10_o16_pcu_s_ID_106                         1224              96.5300,74.7700,97.9800     32.6670,32.6050,30.7140      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.196                          str_m1_o10_o16_pcu_s_ID_107                         1044              96.6100,75.0800,98.5900     32.5250,32.5200,31.0630      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.197                          str_m1_o10_o16_pcu_s_ID_108                         1008              96.7200,74.9600,98.5400     32.5250,32.5050,31.0500      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.198                          str_m1_o10_o16_pcu_s_ID_109                         1278              95.6600,74.6600,98.1700     32.7200,32.4780,30.8720      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.199                          str_m1_o10_o16_pcu_s_ID_110                         1206              96.5600,75.0100,98.5100     32.7060,32.6390,30.9000      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.2                            str_m1_o10_o16_pcu_s_ID_111                         954               96.8600,74.7800,98.2300     32.6630,32.6880,30.8080      1,1,1         O,H,Br,Zn,Cl,C      
str_m1_o10_o16_pcu_sym.20                           str_m1_o10_o16_pcu_s_ID_112                         1170              96.9600,74.6200,98.3700     32.6730,32.6420,31.1670      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.200                          str_m1_o10_o16_pcu_s_ID_113                         1080              96.3900,75.1200,98.2300     32.7120,32.4480,31.0170      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.201                          str_m1_o10_o16_pcu_s_ID_114                         1008              95.9600,74.4400,98.4000     32.5610,32.5280,30.9420      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.202                          str_m1_o10_o16_pcu_s_ID_115                         1278              96.8000,75.3200,98.7000     32.7070,32.6560,30.8490      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.203                          str_m1_o10_o16_pcu_s_ID_116                         1026              96.0500,74.2900,98.5400     32.5620,32.5100,31.0750      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.204                          str_m1_o10_o16_pcu_s_ID_117                         1008              96.6900,75.0200,98.6200     32.5450,32.5330,31.0080      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.205                          str_m1_o10_o16_pcu_s_ID_118                         1206              96.9600,74.3800,98.8800     32.6200,32.5400,31.1160      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.206                          str_m1_o10_o16_pcu_s_ID_119                         1260              97.3300,74.4700,98.9400     32.5490,32.7420,31.0770      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.207                          str_m1_o10_o16_pcu_s_ID_120                         1152              97.2500,74.4500,98.3600     32.7340,32.6300,31.0450      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.208                          str_m1_o10_o16_pcu_s_ID_121                         1008              96.1700,74.2700,98.4600     32.5640,32.5300,31.0040      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.209                          str_m1_o10_o16_pcu_s_ID_122                         1026              96.1000,74.3700,98.5500     32.5710,32.5100,31.0930      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.21                           str_m1_o10_o16_pcu_s_ID_123                         1224              96.7800,74.9900,98.6200     32.5910,32.5010,30.8890      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.210                          str_m1_o10_o16_pcu_s_ID_124                         1116              95.6700,74.3900,98.5900     32.5320,32.5450,31.0840      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.211                          str_m1_o10_o16_pcu_s_ID_125                         1314              96.6200,75.0800,98.4600     32.5760,32.4890,31.1760      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.212                          str_m1_o10_o16_pcu_s_ID_126                         1080              97.2200,75.0600,98.6100     32.5050,32.6650,30.9570      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.213                          str_m1_o10_o16_pcu_s_ID_127                         972               96.8100,75.1500,98.6200     32.5320,32.5240,31.0030      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.214                          str_m1_o10_o16_pcu_s_ID_128                         1062              96.4000,74.3400,98.1200     32.4970,32.6920,31.0490      1,1,1         S,O,H,N,Zn,C        
str_m1_o10_o16_pcu_sym.215                          str_m1_o10_o16_pcu_s_ID_129                         1044              96.0400,74.5700,98.4200     32.7140,32.4780,31.0300      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.216                          str_m1_o10_o16_pcu_s_ID_130                         1098              95.9600,74.1200,98.9700     32.5960,32.5630,31.1160      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.217                          str_m1_o10_o16_pcu_s_ID_131                         954               96.0500,74.4700,98.4100     32.5530,32.5080,31.0990      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.218                          str_m1_o10_o16_pcu_s_ID_132                         1026              96.8100,74.9800,98.6600     32.5470,32.5130,30.9840      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.219                          str_m1_o10_o16_pcu_s_ID_133                         1008              96.0800,74.2100,98.5900     32.5980,32.5060,31.0930      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.22                           str_m1_o10_o16_pcu_s_ID_134                         1080              96.1100,74.4900,98.6400     32.5580,32.5100,31.0860      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.220                          str_m1_o10_o16_pcu_s_ID_135                         1440              96.6600,75.1100,98.9000     32.7590,32.4350,31.1450      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.221                          str_m1_o10_o16_pcu_s_ID_136                         1044              96.5100,75.1400,98.7300     32.7100,32.5430,30.9770      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.222                          str_m1_o10_o16_pcu_s_ID_137                         954               95.9600,74.4600,98.5400     32.5510,32.5220,31.0930      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.223                          str_m1_o10_o16_pcu_s_ID_138                         1026              96.5600,74.6700,98.4300     32.7300,32.5000,30.9100      1,1,1         O,H,Br,Zn,N,C       
str_m1_o10_o16_pcu_sym.224                          str_m1_o10_o16_pcu_s_ID_139                         954               96.5100,74.2100,98.2600     32.5020,32.6250,31.1460      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.225                          str_m1_o10_o16_pcu_s_ID_140                         1170              96.4300,74.7700,98.9000     32.6310,32.7000,30.9360      1,1,1         O,H,Zn,Cl,C         
str_m1_o10_o16_pcu_sym.226                          str_m1_o10_o16_pcu_s_ID_141                         1440              96.0700,74.3200,98.4000     32.4480,32.7740,30.9970      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.227                          str_m1_o10_o16_pcu_s_ID_142                         954               96.6800,75.0200,98.6200     32.5320,32.5240,31.0960      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.228                          str_m1_o10_o16_pcu_s_ID_143                         990               96.0100,74.2600,98.6400     32.5670,32.5330,31.0550      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.229                          str_m1_o10_o16_pcu_s_ID_144                         1152              97.0500,74.7400,98.4200     32.5000,32.7030,31.0500      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.23                           str_m1_o10_o16_pcu_s_ID_145                         954               96.9800,74.8700,98.5000     32.5160,32.6420,30.9800      1,1,1         O,H,Br,Zn,F,C       
