Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m1_o10_o16_pcu_sym.1                            str_m1_o10_o16_pcu_s_ID_1                           1026              95.9500,74.3300,98.5600     32.5230,32.5500,31.0230      1,1,1         S,O,H,Zn,Cl,C       
str_m1_o10_o16_pcu_sym.10                           str_m1_o10_o16_pcu_s_ID_2                           1620              96.8600,74.4000,98.8200     32.4330,32.6270,31.0730      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.100                          str_m1_o10_o16_pcu_s_ID_3                           1026              96.7800,74.8700,98.6100     32.5040,32.5220,31.2440      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.101                          str_m1_o10_o16_pcu_s_ID_4                           1062              97.0600,74.6000,98.5000     32.7000,32.6850,30.9960      1,1,1         O,H,N,Zn,Cl,C       
str_m1_o10_o16_pcu_sym.102                          str_m1_o10_o16_pcu_s_ID_5                           1494              96.7700,74.6200,99.0600     32.7850,32.5300,30.9030      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.103                          str_m1_o10_o16_pcu_s_ID_6                           1188              96.1000,74.5400,98.3700     32.5070,32.5240,31.0590      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.104                          str_m1_o10_o16_pcu_s_ID_7                           1206              96.9400,74.9700,98.6900     32.5710,32.6640,30.7090      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.105                          str_m1_o10_o16_pcu_s_ID_8                           1062              96.2500,74.2500,98.2400     32.5470,32.4610,31.2740      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.106                          str_m1_o10_o16_pcu_s_ID_9                           1440              96.2700,74.9800,98.5100     32.7590,32.4770,30.8990      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.107                          str_m1_o10_o16_pcu_s_ID_10                          1026              97.6100,74.7800,98.8000     32.5130,32.7580,30.8470      1,1,1         S,O,H,Br,Zn,C       
str_m1_o10_o16_pcu_sym.108                          str_m1_o10_o16_pcu_s_ID_11                          2034              95.4800,75.1800,98.4000     32.6340,32.6330,30.8510      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.109                          str_m1_o10_o16_pcu_s_ID_12                          2160              96.6500,74.4100,98.5000     32.7060,32.5940,30.9640      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.11                           str_m1_o10_o16_pcu_s_ID_13                          1116              96.4700,74.9300,97.5500     32.6280,32.6350,30.9250      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.110                          str_m1_o10_o16_pcu_s_ID_14                          1080              96.9600,74.9900,98.4500     32.4990,32.6290,31.0660      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.111                          str_m1_o10_o16_pcu_s_ID_15                          954               95.9600,74.4500,98.4100     32.5550,32.5280,30.9600      1,1,1         O,H,Br,Zn,C         
str_m1_o10_o16_pcu_sym.112                          str_m1_o10_o16_pcu_s_ID_16                          1260              95.7700,74.6100,98.6200     32.5150,32.5890,30.8760      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.113                          str_m1_o10_o16_pcu_s_ID_17                          1386              96.8000,74.8500,98.7500     32.5250,32.4880,31.0400      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.114                          str_m1_o10_o16_pcu_s_ID_18                          1494              96.1300,74.4000,97.7600     32.5560,32.5480,31.0170      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.115                          str_m1_o10_o16_pcu_s_ID_19                          1008              97.0100,74.9800,98.6100     32.5330,32.5940,30.9970      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.116                          str_m1_o10_o16_pcu_s_ID_20                          1062              96.0800,74.0900,98.5300     32.5770,32.4990,31.1130      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.117                          str_m1_o10_o16_pcu_s_ID_21                          990               96.2600,74.4600,98.4700     32.5400,32.4990,31.2190      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.118                          str_m1_o10_o16_pcu_s_ID_22                          1314              96.4400,74.8200,98.0100     32.4650,32.5750,31.0840      1,1,1         O,H,Zn,C,I          
str_m1_o10_o16_pcu_sym.119                          str_m1_o10_o16_pcu_s_ID_23                          1080              96.9100,74.6600,98.6400     32.5010,32.7480,31.1160      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.12                           str_m1_o10_o16_pcu_s_ID_24                          1422              96.8200,74.6600,98.5500     32.6660,32.7660,30.6870      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.120                          str_m1_o10_o16_pcu_s_ID_25                          1314              96.2000,74.4700,98.4300     32.5190,32.4960,31.0960      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.121                          str_m1_o10_o16_pcu_s_ID_26                          1242              96.7800,74.5300,98.2800     32.4770,32.7810,31.0680      1,1,1         S,O,H,Zn,F,C        
str_m1_o10_o16_pcu_sym.122                          str_m1_o10_o16_pcu_s_ID_27                          1314              96.3600,74.3700,98.8300     32.5360,32.5430,31.0440      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.123                          str_m1_o10_o16_pcu_s_ID_28                          1062              96.7000,75.1100,98.6300     32.5230,32.5220,31.0650      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.124                          str_m1_o10_o16_pcu_s_ID_29                          1206              96.4600,74.8300,98.0500     32.7030,32.4350,31.0920      1,1,1         S,O,H,N,Zn,C        
str_m1_o10_o16_pcu_sym.125                          str_m1_o10_o16_pcu_s_ID_30                          1386              96.5400,74.4200,98.8200     32.5750,32.4950,31.1830      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.126                          str_m1_o10_o16_pcu_s_ID_31                          972               96.0700,74.4100,98.4800     32.5600,32.5320,31.0450      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.127                          str_m1_o10_o16_pcu_s_ID_32                          1044              96.7100,75.1200,98.6500     32.5230,32.5150,31.0680      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.128                          str_m1_o10_o16_pcu_s_ID_33                          1188              97.0400,75.1700,99.0700     32.7270,32.7650,30.7700      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.129                          str_m1_o10_o16_pcu_s_ID_34                          1530              96.6600,74.2700,98.1900     32.4550,32.6430,31.1940      1,1,1         S,O,H,Zn,C          
str_m1_o10_o16_pcu_sym.13                           str_m1_o10_o16_pcu_s_ID_35                          1134              96.5600,74.8200,98.4400     32.6340,32.6540,31.0700      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.130                          str_m1_o10_o16_pcu_s_ID_36                          1278              96.4100,74.6700,98.3900     32.7110,32.4440,31.1300      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.131                          str_m1_o10_o16_pcu_s_ID_37                          1044              96.2100,74.5000,98.4200     32.6610,32.6540,31.0110      1,1,1         O,H,Zn,F,C          
str_m1_o10_o16_pcu_sym.132                          str_m1_o10_o16_pcu_s_ID_38                          1026              95.9400,74.5200,98.1300     32.6890,32.4740,31.0580      1,1,1         O,H,N,Zn,C          
str_m1_o10_o16_pcu_sym.133                          str_m1_o10_o16_pcu_s_ID_39                          1368              96.9700,74.5300,98.5000     32.4810,32.5690,31.1980      1,1,1         H,O,Zn,C            
str_m1_o10_o16_pcu_sym.134                          str_m1_o10_o16_pcu_s_ID_40                          1098              96.3600,74.3200,98.5200     32.5590,32.5240,31.1200      1,1,1         O,H,N,Zn,C          
