Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m2_o10_o16_pcu_sym.129                          str_m2_o10_o16_pcu_s_ID_33                          918               93.8200,79.3600,103.0000    22.4600,26.0060,26.8820      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.13                           str_m2_o10_o16_pcu_s_ID_34                          864               94.0000,76.9800,103.2300    22.2640,26.0740,26.7710      1,1,1         C,H,N,Cu,O,S        
str_m2_o10_o16_pcu_sym.130                          str_m2_o10_o16_pcu_s_ID_35                          1044              92.6300,78.5300,101.4000    22.4560,26.1120,26.9460      1,1,1         C,H,N,Cu,O,Cl       
str_m2_o10_o16_pcu_sym.131                          str_m2_o10_o16_pcu_s_ID_36                          792               94.0200,77.3400,103.1300    22.2930,26.0830,26.7800      1,1,1         C,H,N,Cu,O,F        
str_m2_o10_o16_pcu_sym.132                          str_m2_o10_o16_pcu_s_ID_37                          810               94.0300,77.3000,103.1400    22.2830,26.0830,26.8030      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.133                          str_m2_o10_o16_pcu_s_ID_38                          828               94.6100,77.2400,103.3900    22.3780,26.0790,26.7900      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.134                          str_m2_o10_o16_pcu_s_ID_39                          936               94.8300,77.1600,103.4000    22.3710,26.1360,26.7240      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.135                          str_m2_o10_o16_pcu_s_ID_40                          900               94.0200,77.2900,103.1600    22.2800,26.0750,26.7630      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.136                          str_m2_o10_o16_pcu_s_ID_41                          864               94.0400,77.3800,103.1500    22.2900,26.0600,26.8050      1,1,1         C,H,N,Cu,O          
str_m2_o10_o16_pcu_sym.137                          str_m2_o10_o16_pcu_s_ID_42                          1152              94.8400,79.0500,102.8000    22.6720,26.4940,26.8480      1,1,1         C,H,N,I,Cu,O        
str_m2_o10_o16_pcu_sym.138                          str_m2_o10_o16_pcu_s_ID_43                          972               93.9700,76.8000,103.2900    22.2470,26.0660,26.7370      1,1,1         C,H,N,Cu,O,S        
str_m2_o10_o16_pcu_sym.139                          str_m2_o10_o16_pcu_s_ID_44                          792               94.1600,77.7900,103.0500    22.2590,26.1350,26.9650      1,1,1         C,H,N,Cu,O,Cl,F     
