Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m3_o10_o16_pcu_sym.1                            str_m3_o10_o16_pcu_s_ID_1                           792               92.2900,101.2300,94.2000    23.4860,25.7130,24.2510      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.10                           str_m3_o10_o16_pcu_s_ID_2                           864               93.9700,101.6900,93.5700    23.7350,25.6740,24.0860      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.100                          str_m3_o10_o16_pcu_s_ID_3                           1431              91.9600,101.1800,93.9600    23.5320,25.6840,35.6120      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.101                          str_m3_o10_o16_pcu_s_ID_4                           1458              93.3100,101.4200,93.8700    23.6500,25.6810,35.9690      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.102                          str_m3_o10_o16_pcu_s_ID_5                           810               92.6700,101.2300,94.0300    23.5580,25.6930,24.1890      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.103                          str_m3_o10_o16_pcu_s_ID_6                           1152              91.4800,104.0000,94.0600    23.4680,25.6090,25.4550      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.104                          str_m3_o10_o16_pcu_s_ID_7                           954               93.6100,102.4000,93.8400    23.6570,25.6960,25.0960      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.105                          str_m3_o10_o16_pcu_s_ID_8                           864               92.3700,101.1700,94.1400    23.4670,25.7680,24.2200      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.106                          str_m3_o10_o16_pcu_s_ID_9                           972               94.7100,101.0800,93.7500    23.8920,25.6740,24.0870      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.107                          str_m3_o10_o16_pcu_s_ID_10                          918               92.4900,101.0100,94.2000    23.5390,25.6960,24.1590      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.108                          str_m3_o10_o16_pcu_s_ID_11                          792               92.2800,101.2600,94.1900    23.4890,25.7130,24.2000      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.109                          str_m3_o10_o16_pcu_s_ID_12                          792               92.5900,100.9300,93.5000    23.5000,25.7930,24.4150      1,1,1         O,C,Zn,H,Cl,I,N     
str_m3_o10_o16_pcu_sym.11                           str_m3_o10_o16_pcu_s_ID_13                          792               92.3600,103.2900,93.7800    23.4540,25.7300,25.1990      1,1,1         O,C,Zn,H,I,N        
