Data: 2020-01-12
Materials                                           Mol_ID                                              AtomsNumber       CellAngle                   CellLength                   SuperCell     Elements
str_m3_o10_o16_pcu_sym.110                          str_m3_o10_o16_pcu_s_ID_14                          936               92.1600,106.1400,93.1000    23.5340,25.8310,25.1850      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.111                          str_m3_o10_o16_pcu_s_ID_15                          792               92.4500,102.6100,93.9300    23.4430,25.7260,25.2210      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.112                          str_m3_o10_o16_pcu_s_ID_16                          972               92.7100,101.2200,94.1800    23.5040,25.8460,24.4200      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.113                          str_m3_o10_o16_pcu_s_ID_17                          1116              92.9600,103.1600,93.5900    23.7430,25.6980,25.0770      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.114                          str_m3_o10_o16_pcu_s_ID_18                          792               92.4400,102.6400,93.9200    23.4450,25.7260,25.2180      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.115                          str_m3_o10_o16_pcu_s_ID_19                          864               92.5900,102.4500,93.9800    23.3900,25.7950,25.2750      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.116                          str_m3_o10_o16_pcu_s_ID_20                          1323              91.8700,100.8600,94.1000    23.5590,25.6280,35.7430      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.117                          str_m3_o10_o16_pcu_s_ID_21                          1242              94.0700,103.1700,93.1100    23.6690,25.7070,24.9530      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.118                          str_m3_o10_o16_pcu_s_ID_22                          792               92.4700,102.4500,93.9400    23.4380,25.7220,25.1220      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.119                          str_m3_o10_o16_pcu_s_ID_23                          792               92.7400,101.5000,93.9800    23.5840,25.6920,24.1420      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.12                           str_m3_o10_o16_pcu_s_ID_24                          864               92.9700,101.3600,93.8600    23.6300,25.6840,24.1400      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.120                          str_m3_o10_o16_pcu_s_ID_25                          990               92.2300,102.7000,93.7200    23.3850,25.7760,24.7710      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.121                          str_m3_o10_o16_pcu_s_ID_26                          1044              92.3200,100.9400,94.2000    23.4650,25.7040,24.0740      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.122                          str_m3_o10_o16_pcu_s_ID_27                          792               92.4700,100.8600,94.2300    23.4640,25.7850,24.3910      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.123                          str_m3_o10_o16_pcu_s_ID_28                          810               92.6700,100.9000,94.2400    23.5100,25.6880,24.1690      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.124                          str_m3_o10_o16_pcu_s_ID_29                          792               92.2200,103.0300,93.8600    23.5240,25.6970,24.8180      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.125                          str_m3_o10_o16_pcu_s_ID_30                          810               92.5600,101.1800,94.0600    23.5260,25.6960,24.2040      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.126                          str_m3_o10_o16_pcu_s_ID_31                          972               92.5600,101.3200,94.3100    23.5930,25.8130,24.3880      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.127                          str_m3_o10_o16_pcu_s_ID_32                          792               92.6100,103.0000,93.8100    23.4080,25.8170,25.3290      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.128                          str_m3_o10_o16_pcu_s_ID_33                          864               92.7000,102.4800,93.8100    23.5400,25.7690,24.9110      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.129                          str_m3_o10_o16_pcu_s_ID_34                          792               92.4600,102.6100,93.9300    23.4430,25.7260,25.2210      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.13                           str_m3_o10_o16_pcu_s_ID_35                          828               91.4600,100.6400,94.2700    23.4830,25.6550,24.0300      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.130                          str_m3_o10_o16_pcu_s_ID_36                          900               93.0600,100.6200,94.2100    23.5380,25.7650,24.1090      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.131                          str_m3_o10_o16_pcu_s_ID_37                          792               92.9900,102.4300,93.8400    23.5420,25.6980,25.1510      1,1,1         F,C,O,Zn,H,Br,N     
str_m3_o10_o16_pcu_sym.132                          str_m3_o10_o16_pcu_s_ID_38                          882               92.3100,101.1500,94.1900    23.4640,25.7410,24.2130      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.133                          str_m3_o10_o16_pcu_s_ID_39                          1116              91.6600,102.5800,93.9100    23.3090,26.1110,25.3130      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.134                          str_m3_o10_o16_pcu_s_ID_40                          864               92.8100,102.4100,93.7000    23.4250,25.7190,25.2380      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.135                          str_m3_o10_o16_pcu_s_ID_41                          828               92.2000,101.1000,93.9900    23.5370,25.5190,24.1370      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.136                          str_m3_o10_o16_pcu_s_ID_42                          792               92.5500,101.4400,93.7400    23.5680,25.7470,24.2230      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.137                          str_m3_o10_o16_pcu_s_ID_43                          900               92.6600,102.5500,93.8200    23.5530,25.7040,24.8950      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.138                          str_m3_o10_o16_pcu_s_ID_44                          990               92.6700,102.9200,93.5600    23.5000,25.6770,25.0830      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.139                          str_m3_o10_o16_pcu_s_ID_45                          810               92.2700,101.2800,94.1900    23.4890,25.7070,24.1050      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.14                           str_m3_o10_o16_pcu_s_ID_46                          1512              92.9500,107.8600,92.1000    24.1620,26.3370,26.5290      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.140                          str_m3_o10_o16_pcu_s_ID_47                          972               92.1600,103.3200,93.8100    23.4910,25.6830,25.0520      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.141                          str_m3_o10_o16_pcu_s_ID_48                          882               92.4500,101.4200,93.9600    23.4990,25.7910,24.0400      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.142                          str_m3_o10_o16_pcu_s_ID_49                          882               92.5400,101.5400,93.6500    23.5030,25.8440,24.0650      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.143                          str_m3_o10_o16_pcu_s_ID_50                          864               92.1300,101.3900,94.2500    23.4850,25.7040,24.2460      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.144                          str_m3_o10_o16_pcu_s_ID_51                          1044              92.0900,100.9700,94.2300    23.4810,25.6380,24.0420      1,1,1         O,C,Zn,F,H,N        
str_m3_o10_o16_pcu_sym.145                          str_m3_o10_o16_pcu_s_ID_52                          864               92.7500,101.5200,94.0300    23.4900,25.7060,24.3340      1,1,1         O,C,Zn,F,H,N        
str_m3_o10_o16_pcu_sym.146                          str_m3_o10_o16_pcu_s_ID_53                          792               92.3700,101.1800,94.0900    23.4630,25.7330,24.2360      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.147                          str_m3_o10_o16_pcu_s_ID_54                          900               91.6300,101.2100,93.9000    23.5060,25.6390,24.3150      1,1,1         O,C,Zn,F,H,N        
str_m3_o10_o16_pcu_sym.149                          str_m3_o10_o16_pcu_s_ID_55                          972               92.5500,102.9900,93.8500    23.5960,25.7050,24.9840      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.15                           str_m3_o10_o16_pcu_s_ID_56                          846               92.5000,102.4800,93.9200    23.4420,25.7170,25.0520      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.151                          str_m3_o10_o16_pcu_s_ID_57                          828               92.1100,100.6900,94.2300    23.4640,25.7250,24.1470      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.153                          str_m3_o10_o16_pcu_s_ID_58                          1152              91.6600,101.2400,94.3400    23.4330,25.9290,24.5780      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.155                          str_m3_o10_o16_pcu_s_ID_59                          846               92.3400,100.8400,94.3100    23.4690,25.6910,24.3980      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.156                          str_m3_o10_o16_pcu_s_ID_60                          1008              92.9800,103.6700,93.7300    23.6080,25.7020,25.1010      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.158                          str_m3_o10_o16_pcu_s_ID_61                          846               92.3300,101.0600,94.2200    23.4710,25.6980,24.0940      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.16                           str_m3_o10_o16_pcu_s_ID_62                          846               92.3300,101.0600,94.1900    23.4660,25.7840,24.0480      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.160                          str_m3_o10_o16_pcu_s_ID_63                          828               92.3000,101.3500,94.1700    23.4790,25.7060,24.2200      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.161                          str_m3_o10_o16_pcu_s_ID_64                          828               92.2600,101.4600,94.1400    23.4950,25.7140,24.1740      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.168                          str_m3_o10_o16_pcu_s_ID_65                          792               92.5400,102.8000,93.9000    23.4560,25.7300,25.2560      1,1,1         O,C,Zn,F,H,N        
str_m3_o10_o16_pcu_sym.169                          str_m3_o10_o16_pcu_s_ID_66                          936               92.9500,102.4300,93.7400    23.3520,25.8880,25.2830      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.17                           str_m3_o10_o16_pcu_s_ID_67                          810               92.3000,101.2700,94.1900    23.4840,25.7110,24.2280      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.173                          str_m3_o10_o16_pcu_s_ID_68                          792               92.3300,101.2500,94.1900    23.4800,25.7060,24.2260      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.175                          str_m3_o10_o16_pcu_s_ID_69                          1026              91.0100,102.4000,92.6500    23.4620,25.6160,24.3960      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.176                          str_m3_o10_o16_pcu_s_ID_70                          792               92.4500,102.6200,93.9300    23.4420,25.7260,25.2220      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.178                          str_m3_o10_o16_pcu_s_ID_71                          1188              93.3300,100.0400,94.6000    23.6300,25.6620,35.8880      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.18                           str_m3_o10_o16_pcu_s_ID_72                          792               92.3100,101.0300,94.2300    23.4700,25.6930,24.0950      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.189                          str_m3_o10_o16_pcu_s_ID_73                          1332              93.1600,104.6400,93.1200    23.6300,25.7020,25.9560      1,1,1         O,C,Zn,F,H,N        
str_m3_o10_o16_pcu_sym.19                           str_m3_o10_o16_pcu_s_ID_74                          864               92.7800,101.3200,93.8200    23.5510,25.6880,24.4150      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.194                          str_m3_o10_o16_pcu_s_ID_75                          810               92.7500,101.1500,94.0600    23.5770,25.6860,24.0820      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.2                            str_m3_o10_o16_pcu_s_ID_76                          846               92.8400,101.2400,94.0400    23.6100,25.6890,24.1920      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.20                           str_m3_o10_o16_pcu_s_ID_77                          792               91.7600,100.9900,94.1800    23.4870,25.6910,24.1760      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.21                           str_m3_o10_o16_pcu_s_ID_78                          792               92.8800,102.8400,93.6300    23.7060,25.7790,25.2410      1,1,1         F,C,O,Zn,H,I,N      
str_m3_o10_o16_pcu_sym.22                           str_m3_o10_o16_pcu_s_ID_79                          882               92.5000,102.5900,93.9000    23.4220,25.7570,25.1960      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.23                           str_m3_o10_o16_pcu_s_ID_80                          954               92.4100,103.0200,93.7900    23.3880,25.7520,25.0730      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.24                           str_m3_o10_o16_pcu_s_ID_81                          792               92.3500,103.3200,93.7400    23.5510,25.7070,24.8040      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.25                           str_m3_o10_o16_pcu_s_ID_82                          864               92.0500,102.9000,93.8900    23.3370,25.7100,25.0450      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.26                           str_m3_o10_o16_pcu_s_ID_83                          792               92.8200,101.2200,94.0200    23.5840,25.6880,24.1900      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.27                           str_m3_o10_o16_pcu_s_ID_84                          1224              94.4000,102.6700,93.3300    23.6800,26.0940,24.5840      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.28                           str_m3_o10_o16_pcu_s_ID_85                          1080              93.6100,103.0900,93.1100    23.7630,25.6880,25.0300      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.29                           str_m3_o10_o16_pcu_s_ID_86                          792               92.4500,102.6100,93.9300    23.4420,25.7260,25.2230      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.3                            str_m3_o10_o16_pcu_s_ID_87                          864               91.6600,101.3900,94.4800    23.4480,25.7990,24.3870      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.30                           str_m3_o10_o16_pcu_s_ID_88                          792               92.4900,103.4200,93.5200    23.6400,25.7440,24.7840      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.31                           str_m3_o10_o16_pcu_s_ID_89                          792               92.3000,102.7100,93.9600    23.4250,25.7180,24.8400      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.32                           str_m3_o10_o16_pcu_s_ID_90                          792               92.3700,103.8200,93.5100    23.5400,25.7750,24.8150      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.33                           str_m3_o10_o16_pcu_s_ID_91                          846               92.2100,101.1400,94.2200    23.4920,25.6970,24.0220      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.34                           str_m3_o10_o16_pcu_s_ID_92                          792               92.4100,100.8700,94.1800    23.4550,25.7260,24.3070      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.35                           str_m3_o10_o16_pcu_s_ID_93                          792               92.3500,103.3200,93.7400    23.5510,25.7070,24.8040      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.36                           str_m3_o10_o16_pcu_s_ID_94                          828               92.4700,101.6600,94.0400    23.4990,25.7070,24.3190      1,1,1         O,C,Zn,F,H,N        
str_m3_o10_o16_pcu_sym.37                           str_m3_o10_o16_pcu_s_ID_95                          1008              93.0800,101.5300,93.6400    23.5750,25.6800,24.5670      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.38                           str_m3_o10_o16_pcu_s_ID_96                          792               92.3200,101.0600,94.2200    23.4740,25.7010,24.1190      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.39                           str_m3_o10_o16_pcu_s_ID_97                          792               91.6200,103.6000,93.7000    23.4510,25.6860,25.0920      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.4                            str_m3_o10_o16_pcu_s_ID_98                          792               92.2900,101.2300,94.2000    23.4860,25.7130,24.2510      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.40                           str_m3_o10_o16_pcu_s_ID_99                          828               92.3300,100.9000,94.2300    23.4780,25.7080,24.0590      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.41                           str_m3_o10_o16_pcu_s_ID_100                         972               92.6100,103.1900,93.7200    23.4460,25.7000,24.9780      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.42                           str_m3_o10_o16_pcu_s_ID_101                         846               92.4600,102.5700,93.9100    23.4180,25.7060,25.2080      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.43                           str_m3_o10_o16_pcu_s_ID_102                         792               92.4600,101.1900,94.1100    23.5110,25.7040,24.2200      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.44                           str_m3_o10_o16_pcu_s_ID_103                         792               92.6200,100.9400,94.3600    23.4530,25.8260,24.1100      1,1,1         F,C,O,Zn,H,I,N      
str_m3_o10_o16_pcu_sym.45                           str_m3_o10_o16_pcu_s_ID_104                         972               92.2300,101.1900,94.4500    23.4540,25.7580,24.4510      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.46                           str_m3_o10_o16_pcu_s_ID_105                         1188              92.6100,103.0000,93.0000    23.4460,26.1260,25.1090      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.47                           str_m3_o10_o16_pcu_s_ID_106                         1485              91.7600,101.1500,94.0500    23.4940,25.7120,35.9980      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.48                           str_m3_o10_o16_pcu_s_ID_107                         828               92.3500,101.0900,94.1800    23.4530,25.7810,24.1900      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.49                           str_m3_o10_o16_pcu_s_ID_108                         1152              98.8700,101.1300,92.5200    24.0480,25.9110,24.2350      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.5                            str_m3_o10_o16_pcu_s_ID_109                         972               92.6900,101.3100,93.9400    23.5910,25.6900,24.2590      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.50                           str_m3_o10_o16_pcu_s_ID_110                         792               92.5100,102.4400,93.9500    23.4690,25.7210,25.1100      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.51                           str_m3_o10_o16_pcu_s_ID_111                         900               92.6600,102.5600,93.8200    23.5530,25.7030,24.8940      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.52                           str_m3_o10_o16_pcu_s_ID_112                         936               92.8700,101.4600,93.6400    23.5550,25.7700,24.2660      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.53                           str_m3_o10_o16_pcu_s_ID_113                         792               92.6400,101.2200,93.9600    23.5220,25.7770,24.0510      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.54                           str_m3_o10_o16_pcu_s_ID_114                         936               91.6400,101.3200,94.1800    23.4800,25.6260,24.2390      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.55                           str_m3_o10_o16_pcu_s_ID_115                         1116              92.6300,101.1900,93.6000    23.5370,25.8430,24.3360      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.56                           str_m3_o10_o16_pcu_s_ID_116                         792               92.9000,101.2100,93.9800    23.5710,25.7680,24.1870      1,1,1         F,C,O,Zn,H,Br,N     
str_m3_o10_o16_pcu_sym.57                           str_m3_o10_o16_pcu_s_ID_117                         792               92.3100,101.1400,94.2100    23.4850,25.7120,24.2130      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.58                           str_m3_o10_o16_pcu_s_ID_118                         864               92.3600,101.4700,94.0500    23.4770,25.6700,24.1600      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.59                           str_m3_o10_o16_pcu_s_ID_119                         900               91.7000,104.4500,93.3900    23.9050,26.0480,25.5120      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.6                            str_m3_o10_o16_pcu_s_ID_120                         846               91.8900,101.1200,94.3400    23.4100,25.9180,24.3000      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.60                           str_m3_o10_o16_pcu_s_ID_121                         792               92.5200,102.5800,94.0300    23.4390,25.7130,25.2990      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.61                           str_m3_o10_o16_pcu_s_ID_122                         918               92.3500,101.1600,94.0800    23.4690,25.7230,24.1900      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.62                           str_m3_o10_o16_pcu_s_ID_123                         810               92.2900,101.1500,94.2200    23.4950,25.7070,24.1310      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.63                           str_m3_o10_o16_pcu_s_ID_124                         900               93.6800,103.1200,92.9800    23.5530,25.7600,25.3400      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.64                           str_m3_o10_o16_pcu_s_ID_125                         1431              91.6100,100.9100,94.0000    23.4810,25.6110,35.9660      1,1,1         O,C,Zn,H,I,N        
str_m3_o10_o16_pcu_sym.65                           str_m3_o10_o16_pcu_s_ID_126                         1332              98.0100,104.6400,92.6600    24.0680,25.6540,26.0100      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.66                           str_m3_o10_o16_pcu_s_ID_127                         900               91.1500,101.0200,94.1100    23.4390,25.7340,24.0700      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.67                           str_m3_o10_o16_pcu_s_ID_128                         918               92.2500,103.7000,93.7700    23.4720,25.7200,25.1140      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.68                           str_m3_o10_o16_pcu_s_ID_129                         936               93.1400,101.7100,94.0100    23.4420,25.7640,24.5020      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.69                           str_m3_o10_o16_pcu_s_ID_130                         792               92.2900,101.2300,94.2000    23.4860,25.7130,24.2510      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.7                            str_m3_o10_o16_pcu_s_ID_131                         1008              94.1900,103.0200,92.8300    23.7190,25.5730,24.8500      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.70                           str_m3_o10_o16_pcu_s_ID_132                         864               92.2800,101.4800,94.1300    23.4930,25.7100,24.1520      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.71                           str_m3_o10_o16_pcu_s_ID_133                         1062              94.0100,101.1800,93.4100    23.7760,25.7020,24.1950      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.72                           str_m3_o10_o16_pcu_s_ID_134                         1008              92.2200,101.3500,94.0300    23.4540,25.5990,24.1950      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.73                           str_m3_o10_o16_pcu_s_ID_135                         882               92.4500,103.1500,93.8800    23.4750,25.7240,25.1250      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.74                           str_m3_o10_o16_pcu_s_ID_136                         1044              92.4200,104.4700,93.5300    23.7040,25.8520,25.2070      1,1,1         O,C,Zn,H,S,N        
str_m3_o10_o16_pcu_sym.75                           str_m3_o10_o16_pcu_s_ID_137                         972               92.9000,100.7800,93.4400    23.5450,25.8340,24.1670      1,1,1         O,C,Zn,H,Br,N       
str_m3_o10_o16_pcu_sym.76                           str_m3_o10_o16_pcu_s_ID_138                         972               92.6200,103.3900,93.6300    23.5120,25.7740,24.9130      1,1,1         O,C,Zn,H,Cl,N       
str_m3_o10_o16_pcu_sym.77                           str_m3_o10_o16_pcu_s_ID_139                         792               92.4600,101.2100,94.1100    23.5100,25.7030,24.2150      1,1,1         F,C,O,Zn,H,N        
str_m3_o10_o16_pcu_sym.78                           str_m3_o10_o16_pcu_s_ID_140                         1062              91.6100,101.3900,93.7700    23.4500,25.5960,24.0490      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.79                           str_m3_o10_o16_pcu_s_ID_141                         1008              94.0600,102.5000,93.3000    23.7680,25.6640,24.7730      1,1,1         O,C,Zn,H,S,I,N      
str_m3_o10_o16_pcu_sym.8                            str_m3_o10_o16_pcu_s_ID_142                         936               92.6800,100.7700,94.2400    23.5700,25.6920,24.0930      1,1,1         O,C,Zn,H,N          
str_m3_o10_o16_pcu_sym.80                           str_m3_o10_o16_pcu_s_ID_143                         792               92.4600,102.4700,93.9400    23.4350,25.7190,25.1110      1,1,1         O,C,Zn,H,I,N        
