MaterialsName                10.0kPa        100.0kPa       
str_m1_o10_o16_pcu_s_ID_186   0.0630         0.1601         
str_m1_o10_o16_pcu_s_ID_187   0.0714         0.0821         
str_m1_o10_o16_pcu_s_ID_188   0.0618         0.0225         
str_m1_o10_o16_pcu_s_ID_189   0.0569         0.0995         
str_m1_o10_o16_pcu_s_ID_19    0.0310         0.0256         
str_m1_o10_o16_pcu_s_ID_190   0.0438         0.0628         
str_m1_o10_o16_pcu_s_ID_191   0.0686         0.1216         
str_m1_o10_o16_pcu_s_ID_192   0.0441         0.0805         
str_m1_o10_o16_pcu_s_ID_193   0.0496         0.0419         
str_m1_o10_o16_pcu_s_ID_194   0.0315         0.0000         
str_m1_o10_o16_pcu_s_ID_195   0.0324         0.0143         
str_m1_o10_o16_pcu_s_ID_196   0.0077         0.0536         
str_m1_o10_o16_pcu_s_ID_197   0.0706         0.0838         
str_m1_o10_o16_pcu_s_ID_198   0.0355         0.0185         
str_m1_o10_o16_pcu_s_ID_199   0.0327         0.1160         
str_m1_o10_o16_pcu_s_ID_2     0.0435         0.0071         
str_m1_o10_o16_pcu_s_ID_20    0.0412         0.1107         
str_m1_o10_o16_pcu_s_ID_200   0.0343         0.0805         
str_m1_o10_o16_pcu_s_ID_201   0.0543         0.0974         
str_m1_o10_o16_pcu_s_ID_202   0.0261         0.0175         
str_m1_o10_o16_pcu_s_ID_203   0.0316         0.8427         
str_m1_o10_o16_pcu_s_ID_204   0.0099         0.0093         
str_m1_o10_o16_pcu_s_ID_205   0.0570         0.1234         
str_m1_o10_o16_pcu_s_ID_206   0.0543         0.1022         
str_m1_o10_o16_pcu_s_ID_207   0.0345         0.0236         
str_m1_o10_o16_pcu_s_ID_208   0.0282         0.1724         
str_m1_o10_o16_pcu_s_ID_209   0.0510         0.0270         
str_m1_o10_o16_pcu_s_ID_21    0.0544         0.0997         
str_m1_o10_o16_pcu_s_ID_210   0.0734         0.0498         
str_m1_o10_o16_pcu_s_ID_211   1.0314         0.3904         
str_m1_o10_o16_pcu_s_ID_212   0.0228         0.0033         
str_m1_o10_o16_pcu_s_ID_213   0.0383         0.0885         
str_m1_o10_o16_pcu_s_ID_214   0.0377         0.1468         
str_m1_o10_o16_pcu_s_ID_215   0.0265         0.0628         
str_m1_o10_o16_pcu_s_ID_216   0.0662         0.0649         
str_m1_o10_o16_pcu_s_ID_217   0.0444         0.0088         
str_m1_o10_o16_pcu_s_ID_218   0.0639         0.0596         
str_m1_o10_o16_pcu_s_ID_219   0.0629         0.1091         
str_m1_o10_o16_pcu_s_ID_22    0.0290         0.0288         
str_m1_o10_o16_pcu_s_ID_220   0.0468         0.0367         
str_m1_o10_o16_pcu_s_ID_221   0.0390         0.0714         
str_m1_o10_o16_pcu_s_ID_222   0.0454         0.1936         
str_m1_o10_o16_pcu_s_ID_223   0.0317         0.2115         
str_m1_o10_o16_pcu_s_ID_224   0.0351         0.0375         
str_m1_o10_o16_pcu_s_ID_225   0.0641         0.0453         
str_m1_o10_o16_pcu_s_ID_226   0.0231         0.0355         
str_m1_o10_o16_pcu_s_ID_227   0.0344         0.0384         
str_m1_o10_o16_pcu_s_ID_228   0.0664         0.0936         
str_m1_o10_o16_pcu_s_ID_229   0.0623         0.0709         
str_m1_o10_o16_pcu_s_ID_23    0.0577         0.0517         
str_m1_o10_o16_pcu_s_ID_230   0.0201         0.0499         
str_m1_o10_o16_pcu_s_ID_231   0.0435         0.0766         
str_m1_o10_o16_pcu_s_ID_232   0.0396         0.0126         
str_m1_o10_o16_pcu_s_ID_233   0.0680         0.0249         
str_m1_o10_o16_pcu_s_ID_234   0.0510         0.0613         
str_m1_o10_o16_pcu_s_ID_235   0.0515         0.3526         
str_m1_o10_o16_pcu_s_ID_236   0.0201         0.0484         
str_m1_o10_o16_pcu_s_ID_237   0.0559         0.0870         
str_m1_o10_o16_pcu_s_ID_238   0.0635         0.1659         
str_m1_o10_o16_pcu_s_ID_239   0.0524         0.0658         
str_m1_o10_o16_pcu_s_ID_24    0.0135         0.1080         
str_m1_o10_o16_pcu_s_ID_240   0.0311         0.1645         
str_m1_o10_o16_pcu_s_ID_241   0.1284         0.8718         
str_m1_o10_o16_pcu_s_ID_242   0.1061         0.0957         
str_m1_o10_o16_pcu_s_ID_243   0.0586         0.0988         
str_m1_o10_o16_pcu_s_ID_244   0.0243         0.0910         
str_m1_o10_o16_pcu_s_ID_245   0.0405         0.0701         
str_m1_o10_o16_pcu_s_ID_246   0.0247         0.3220         
str_m1_o10_o16_pcu_s_ID_247    NULL   4.0485         
str_m1_o10_o16_pcu_s_ID_248   0.0384         0.0578         
str_m1_o10_o16_pcu_s_ID_249   0.0483         0.0784         
str_m1_o10_o16_pcu_s_ID_25    0.0790         0.0865         
str_m1_o10_o16_pcu_s_ID_250   0.0787         0.0673         
str_m1_o10_o16_pcu_s_ID_251   0.0542         0.1506         
str_m1_o10_o16_pcu_s_ID_252   0.0495         0.0559         
str_m1_o10_o16_pcu_s_ID_253   0.0775         0.2851         
str_m1_o10_o16_pcu_s_ID_254   13.0542        9.0894         
str_m1_o10_o16_pcu_s_ID_255   0.0540         0.1095         
str_m1_o10_o16_pcu_s_ID_256   0.0385         0.2096         
str_m1_o10_o16_pcu_s_ID_257   0.0513         0.0894         
str_m1_o10_o16_pcu_s_ID_258   0.0372         0.1659         
str_m1_o10_o16_pcu_s_ID_259   0.0332         0.0393         
str_m1_o10_o16_pcu_s_ID_26    0.0353         0.2116         
str_m1_o10_o16_pcu_s_ID_260   0.0570         0.0344         
str_m1_o10_o16_pcu_s_ID_261   0.0406         0.0860         
str_m1_o10_o16_pcu_s_ID_262   0.0628         0.0534         
str_m1_o10_o16_pcu_s_ID_263   0.0607         0.0874         
str_m1_o10_o16_pcu_s_ID_264   0.0943         0.0260         
str_m1_o10_o16_pcu_s_ID_27    0.0490         0.2296         
str_m1_o10_o16_pcu_s_ID_28    0.0355         0.2516         
str_m1_o10_o16_pcu_s_ID_29    0.0455         0.0637         
str_m1_o10_o16_pcu_s_ID_3     0.0603         0.1157         
str_m1_o10_o16_pcu_s_ID_30    0.0308         0.0099         
str_m1_o10_o16_pcu_s_ID_31    0.0633         0.0163         
str_m1_o10_o16_pcu_s_ID_32    0.1042         0.1189         
str_m1_o10_o16_pcu_s_ID_33    0.0328         0.0197         
str_m1_o10_o16_pcu_s_ID_34    0.0106         0.2084         
str_m1_o10_o16_pcu_s_ID_35    0.0510         0.0198         
str_m1_o10_o16_pcu_s_ID_36    0.0465         0.0826         
str_m1_o10_o16_pcu_s_ID_37    0.0174         0.0087         
str_m1_o10_o16_pcu_s_ID_38    0.0271         0.0740         
str_m1_o10_o16_pcu_s_ID_39    0.0316         0.2201         
str_m1_o10_o16_pcu_s_ID_4     0.0124         0.0532         
str_m1_o10_o16_pcu_s_ID_40    0.0593         0.1314         
str_m1_o10_o16_pcu_s_ID_41    0.0344         0.0453         
str_m1_o10_o16_pcu_s_ID_42    0.0766         0.0992         
str_m1_o10_o16_pcu_s_ID_43    0.0417         0.0362         
str_m1_o10_o16_pcu_s_ID_44    1.0202         1.0052         
str_m1_o10_o16_pcu_s_ID_45    0.0404         0.0420         
str_m1_o10_o16_pcu_s_ID_46    0.0419         0.0267         
str_m1_o10_o16_pcu_s_ID_47    0.0288         0.0207         
str_m1_o10_o16_pcu_s_ID_48    0.0397         0.1545         
str_m1_o10_o16_pcu_s_ID_49    0.0490         0.0103         
str_m1_o10_o16_pcu_s_ID_5     0.0300         0.0000         
str_m1_o10_o16_pcu_s_ID_50    0.0581         0.1489         
str_m1_o10_o16_pcu_s_ID_51    0.0507         0.2130         
str_m1_o10_o16_pcu_s_ID_52    0.0545         0.0256         
str_m1_o10_o16_pcu_s_ID_53    0.0430         0.0511         
str_m1_o10_o16_pcu_s_ID_54    0.0415         0.6485         
str_m1_o10_o16_pcu_s_ID_55    0.0239         0.0653         
str_m1_o10_o16_pcu_s_ID_56    0.0293         0.0378         
str_m1_o10_o16_pcu_s_ID_57    0.0546         0.0216         
str_m1_o10_o16_pcu_s_ID_58    0.0614         0.1388         
str_m1_o10_o16_pcu_s_ID_59    0.0381         0.0347         
str_m1_o10_o16_pcu_s_ID_6     0.0383         0.0850         
str_m1_o10_o16_pcu_s_ID_60    0.0440         0.0098         
str_m1_o10_o16_pcu_s_ID_61    0.0670         0.0686         
str_m1_o10_o16_pcu_s_ID_62    0.0470         0.0559         
str_m1_o10_o16_pcu_s_ID_63    0.0461         0.0696         
str_m1_o10_o16_pcu_s_ID_64    0.0545         0.1652         
str_m1_o10_o16_pcu_s_ID_65    0.0403         0.4175         
str_m1_o10_o16_pcu_s_ID_66    0.0534         0.0353         
str_m1_o10_o16_pcu_s_ID_67    0.0423         0.0230         
str_m1_o10_o16_pcu_s_ID_68    0.0213         0.0332         
str_m1_o10_o16_pcu_s_ID_69    0.0415         0.2359         
str_m1_o10_o16_pcu_s_ID_7     0.0628         0.0605         
str_m1_o10_o16_pcu_s_ID_70    0.0809         0.0217         
str_m1_o10_o16_pcu_s_ID_71    0.0710         0.0540         
str_m1_o10_o16_pcu_s_ID_72    0.0666         0.1399         
str_m1_o10_o16_pcu_s_ID_73    0.0344         0.0617         
str_m1_o10_o16_pcu_s_ID_74    0.0114         0.0156         
str_m1_o10_o16_pcu_s_ID_75    0.0847         0.0392         
str_m1_o10_o16_pcu_s_ID_76    0.0449         0.0015         
str_m1_o10_o16_pcu_s_ID_77    0.0519         0.1711         
str_m1_o10_o16_pcu_s_ID_78    0.0349         0.0331         
str_m1_o10_o16_pcu_s_ID_79    0.0780         0.1785         
str_m1_o10_o16_pcu_s_ID_8     0.0451         0.0425         
str_m1_o10_o16_pcu_s_ID_80    0.0451         0.0192         
str_m1_o10_o16_pcu_s_ID_81    0.0728         0.0766         
str_m1_o10_o16_pcu_s_ID_82    0.0716         0.1022         
str_m1_o10_o16_pcu_s_ID_83    0.0299         0.0149         
str_m1_o10_o16_pcu_s_ID_84    0.0442         0.0539         
str_m1_o10_o16_pcu_s_ID_85    0.0495         0.1480         
str_m1_o10_o16_pcu_s_ID_86    0.0827         0.0349         
str_m1_o10_o16_pcu_s_ID_87    0.0505         0.0446         
str_m1_o10_o16_pcu_s_ID_88    0.0353         0.0004         
str_m1_o10_o16_pcu_s_ID_89    0.0375         0.3007         
