MaterialsName                10.0kPa        100.0kPa       

str_m3_o10_o16_pcu_s_ID_1     0.0221         0.1711         
str_m3_o10_o16_pcu_s_ID_10    0.0252         2.9417         
str_m3_o10_o16_pcu_s_ID_100   0.0000         3.9589         
str_m3_o10_o16_pcu_s_ID_101   0.0000         0.3474         
str_m3_o10_o16_pcu_s_ID_102   0.0117         0.0282         
str_m3_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_104   0.0000         0.0002         
str_m3_o10_o16_pcu_s_ID_105   0.1166         0.7120         
str_m3_o10_o16_pcu_s_ID_106   1.1863         6.1927         
str_m3_o10_o16_pcu_s_ID_107   0.0113         0.0000         
str_m3_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_109   0.0000         2.5196         
str_m3_o10_o16_pcu_s_ID_11    0.0908         0.0518         
str_m3_o10_o16_pcu_s_ID_110   0.0628         1.0984         
str_m3_o10_o16_pcu_s_ID_111   0.0000         3.0934         
str_m3_o10_o16_pcu_s_ID_112   0.3432         1.9665         
str_m3_o10_o16_pcu_s_ID_113   0.0089         0.0361         
str_m3_o10_o16_pcu_s_ID_114   0.0037         0.0341         
str_m3_o10_o16_pcu_s_ID_115   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_116   0.0110         0.0000         
str_m3_o10_o16_pcu_s_ID_117   0.0049         0.0079         
str_m3_o10_o16_pcu_s_ID_118   0.2340         0.0000         
str_m3_o10_o16_pcu_s_ID_119   0.0000         0.0001         
str_m3_o10_o16_pcu_s_ID_12    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_120   0.0610         2.0267         
str_m3_o10_o16_pcu_s_ID_121   0.0042         0.0000         
str_m3_o10_o16_pcu_s_ID_122   0.0044         0.0376         
str_m3_o10_o16_pcu_s_ID_123   0.0017         0.0149         
str_m3_o10_o16_pcu_s_ID_124   0.0000         0.0224         
str_m3_o10_o16_pcu_s_ID_125   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_126   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_127   0.0000         0.3594         
str_m3_o10_o16_pcu_s_ID_128   0.0000         0.1060         
str_m3_o10_o16_pcu_s_ID_129   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_13    0.0005         0.0953         
str_m3_o10_o16_pcu_s_ID_130   0.0293         0.0778         
str_m3_o10_o16_pcu_s_ID_131   0.0093         0.1146         
str_m3_o10_o16_pcu_s_ID_132   0.1358         0.0000         
str_m3_o10_o16_pcu_s_ID_133   0.0089         0.0879         
str_m3_o10_o16_pcu_s_ID_134   0.0001         0.0010         
str_m3_o10_o16_pcu_s_ID_135   0.0151         0.1570         
str_m3_o10_o16_pcu_s_ID_136   0.0046         0.0683         
str_m3_o10_o16_pcu_s_ID_137   0.0025         0.0138         
str_m3_o10_o16_pcu_s_ID_138   0.0000         3.6508         
str_m3_o10_o16_pcu_s_ID_139   0.0732         0.4930         
str_m3_o10_o16_pcu_s_ID_14    1.0037         5.6758         
str_m3_o10_o16_pcu_s_ID_140   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_141   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_142   0.0027         0.0299         
str_m3_o10_o16_pcu_s_ID_143   0.0000         0.0011         
str_m3_o10_o16_pcu_s_ID_144   0.4028         0.0000         
str_m3_o10_o16_pcu_s_ID_145   0.0000         0.9356         
str_m3_o10_o16_pcu_s_ID_146   0.0616         0.0001         
str_m3_o10_o16_pcu_s_ID_147   0.0445         0.0000         
str_m3_o10_o16_pcu_s_ID_148   0.0044         0.0472         
str_m3_o10_o16_pcu_s_ID_149   0.7682         2.2482         
str_m3_o10_o16_pcu_s_ID_15    0.0019         0.0000         
str_m3_o10_o16_pcu_s_ID_150   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_151   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_152   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_153   0.1740         0.2273         
str_m3_o10_o16_pcu_s_ID_154   0.0204         0.0243         
str_m3_o10_o16_pcu_s_ID_155   0.0016         0.2060         
str_m3_o10_o16_pcu_s_ID_156   0.0071         0.0058         
str_m3_o10_o16_pcu_s_ID_157   2.0055         7.1891         
str_m3_o10_o16_pcu_s_ID_158   0.0193         0.0101         
str_m3_o10_o16_pcu_s_ID_159   0.0116         0.0000         
str_m3_o10_o16_pcu_s_ID_16    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_160   0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_161   0.0389         0.1940         
str_m3_o10_o16_pcu_s_ID_162   0.0000         1.3660         
str_m3_o10_o16_pcu_s_ID_163   0.0163         0.0000         
str_m3_o10_o16_pcu_s_ID_17    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_18    0.0039         0.0000         
str_m3_o10_o16_pcu_s_ID_19    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_2      NULL   0.0000         
str_m3_o10_o16_pcu_s_ID_20    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_21    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_22    0.0005         0.0289         
str_m3_o10_o16_pcu_s_ID_23    0.4112         0.1790         
str_m3_o10_o16_pcu_s_ID_24    0.0520         0.0000         
str_m3_o10_o16_pcu_s_ID_25    0.0091         0.0737         
str_m3_o10_o16_pcu_s_ID_26    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_27    0.0012         0.0144         
str_m3_o10_o16_pcu_s_ID_28    0.0020         0.0102         
str_m3_o10_o16_pcu_s_ID_29    0.0270         0.2007         
str_m3_o10_o16_pcu_s_ID_3     0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_30    0.0000         0.0251         
str_m3_o10_o16_pcu_s_ID_31    0.0000         0.0395         
str_m3_o10_o16_pcu_s_ID_32    0.0041         0.0152         
str_m3_o10_o16_pcu_s_ID_33    0.0345         1.0000         
str_m3_o10_o16_pcu_s_ID_34    0.0263         0.0091         
str_m3_o10_o16_pcu_s_ID_35    0.0007         0.0169         
str_m3_o10_o16_pcu_s_ID_36    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_37    0.0066         0.0045         
str_m3_o10_o16_pcu_s_ID_38    0.0056         0.0181         
str_m3_o10_o16_pcu_s_ID_39    0.0000         0.0002         
str_m3_o10_o16_pcu_s_ID_4     0.0286         0.8143         
str_m3_o10_o16_pcu_s_ID_40    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_41    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_42    0.0062         0.0658         
str_m3_o10_o16_pcu_s_ID_43    0.0000         2.6300         
str_m3_o10_o16_pcu_s_ID_44    0.1791         0.0000         
str_m3_o10_o16_pcu_s_ID_45    0.0386         0.2077         
str_m3_o10_o16_pcu_s_ID_46    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_47    0.0004         0.0098         
str_m3_o10_o16_pcu_s_ID_48    0.1183         0.0411         
str_m3_o10_o16_pcu_s_ID_49    0.0492         0.0000         
str_m3_o10_o16_pcu_s_ID_5     0.0119         0.0681         
str_m3_o10_o16_pcu_s_ID_50    0.0179         0.1124         
str_m3_o10_o16_pcu_s_ID_51    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_52    0.0107         0.0000         
str_m3_o10_o16_pcu_s_ID_53    0.0087         0.0244         
str_m3_o10_o16_pcu_s_ID_54    0.0145         0.0000         
str_m3_o10_o16_pcu_s_ID_55    0.0221         0.0167         
str_m3_o10_o16_pcu_s_ID_56    0.0000         0.0033         
str_m3_o10_o16_pcu_s_ID_57    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_58    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_59    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_6     0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_60    0.0297         0.0184         
str_m3_o10_o16_pcu_s_ID_61    0.0000         0.0058         
str_m3_o10_o16_pcu_s_ID_62    0.0029         0.0441         
str_m3_o10_o16_pcu_s_ID_63    0.0000         1.1359         
str_m3_o10_o16_pcu_s_ID_64    0.0109         0.1046         
str_m3_o10_o16_pcu_s_ID_65    0.1373         0.2534         
str_m3_o10_o16_pcu_s_ID_66    0.0706         0.2046         
str_m3_o10_o16_pcu_s_ID_67    0.0000         0.1837         
str_m3_o10_o16_pcu_s_ID_68    0.0709         0.0000         
str_m3_o10_o16_pcu_s_ID_69    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_7     0.3085         1.1184         
str_m3_o10_o16_pcu_s_ID_70    0.0202         0.4561         
str_m3_o10_o16_pcu_s_ID_71    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_72    0.0026         0.0226         
str_m3_o10_o16_pcu_s_ID_73    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_74    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_75    0.0021         0.0174         
str_m3_o10_o16_pcu_s_ID_76     NULL   0.0000         
str_m3_o10_o16_pcu_s_ID_77    0.0392         0.0005         
str_m3_o10_o16_pcu_s_ID_78    0.0022         0.0957         
str_m3_o10_o16_pcu_s_ID_79    0.0000         1.5873         
str_m3_o10_o16_pcu_s_ID_8     0.0071         0.0673         
str_m3_o10_o16_pcu_s_ID_80    0.1667         2.1916         
str_m3_o10_o16_pcu_s_ID_81    0.0000         0.3681         
str_m3_o10_o16_pcu_s_ID_82    0.0004         0.0235         
str_m3_o10_o16_pcu_s_ID_83    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_84    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_85    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_86    0.0020         0.2640         
str_m3_o10_o16_pcu_s_ID_87    0.0004         0.0000         
str_m3_o10_o16_pcu_s_ID_88    0.1086         0.5894         
str_m3_o10_o16_pcu_s_ID_89    0.0571         0.0027         
str_m3_o10_o16_pcu_s_ID_9      NULL   0.2157         
str_m3_o10_o16_pcu_s_ID_90    0.0621         0.0010         
str_m3_o10_o16_pcu_s_ID_91    0.0073         0.0292         
str_m3_o10_o16_pcu_s_ID_92    0.0033         0.0153         
str_m3_o10_o16_pcu_s_ID_93    0.0000         0.2717         
str_m3_o10_o16_pcu_s_ID_94    0.0137         0.0000         
str_m3_o10_o16_pcu_s_ID_95    0.0000         0.0000         
str_m3_o10_o16_pcu_s_ID_96    0.0134         0.0524         
str_m3_o10_o16_pcu_s_ID_97    0.0156         0.2458         
str_m3_o10_o16_pcu_s_ID_98    0.0193         0.0766         
str_m3_o10_o16_pcu_s_ID_99    0.0077         0.0021         
str_m3_o10_o17_pcu_s_ID_164   0.0546         1.3923         
str_m3_o10_o17_pcu_s_ID_165   0.0453         0.5799         
str_m3_o10_o17_pcu_s_ID_166   0.0067         0.1464         
str_m3_o10_o17_pcu_s_ID_167   0.0060         1.6965         
str_m3_o10_o17_pcu_s_ID_168   0.0379         0.3519         
str_m3_o10_o17_pcu_s_ID_169   0.0039         0.0249         
str_m3_o10_o17_pcu_s_ID_170   0.0000         2.2631         
str_m3_o10_o17_pcu_s_ID_171   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_172   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_173   0.2322         1.8091         
str_m3_o10_o17_pcu_s_ID_174   0.0012         0.0110         
str_m3_o10_o17_pcu_s_ID_175   0.3927         4.7063         
str_m3_o10_o17_pcu_s_ID_176   0.0141         0.0737         
str_m3_o10_o17_pcu_s_ID_177   0.0028         0.0168         
str_m3_o10_o17_pcu_s_ID_178   0.2657         0.7270         
str_m3_o10_o17_pcu_s_ID_179   0.0366         0.1949         
str_m3_o10_o17_pcu_s_ID_180   3.3795         9.0000         
str_m3_o10_o17_pcu_s_ID_181   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_182   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_183   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_184   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_185   0.0171         3.9877         
str_m3_o10_o17_pcu_s_ID_186   0.0000         0.1530         
str_m3_o10_o17_pcu_s_ID_187   0.1273         8.7428         
str_m3_o10_o17_pcu_s_ID_188   1.0411         3.9034         
str_m3_o10_o17_pcu_s_ID_189   0.0543         0.0572         
str_m3_o10_o17_pcu_s_ID_190   0.0000         3.3507         
str_m3_o10_o17_pcu_s_ID_191   1.8166         1.5421         
str_m3_o10_o17_pcu_s_ID_192   0.1329         0.4102         
str_m3_o10_o17_pcu_s_ID_193   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_194   0.3245         1.5581         
str_m3_o10_o17_pcu_s_ID_195   0.0051         1.6935         
str_m3_o10_o17_pcu_s_ID_196   0.1162         1.1743         
str_m3_o10_o17_pcu_s_ID_197   7.1440         7.0000         
str_m3_o10_o17_pcu_s_ID_198   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_199   0.0049         6.3412         
str_m3_o10_o17_pcu_s_ID_200   0.0137         0.0620         
str_m3_o10_o17_pcu_s_ID_201   0.0002         0.0042         
str_m3_o10_o17_pcu_s_ID_202   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_203   8.3472         9.1320         
str_m3_o10_o17_pcu_s_ID_204   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_205   0.0208         0.4579         
str_m3_o10_o17_pcu_s_ID_206   0.0764         0.1589         
str_m3_o10_o17_pcu_s_ID_207   0.0009         2.2299         
str_m3_o10_o17_pcu_s_ID_208   0.0000         0.2972         
str_m3_o10_o17_pcu_s_ID_209   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_210   0.3504         0.0800         
str_m3_o10_o17_pcu_s_ID_211   0.0373         0.2023         
str_m3_o10_o17_pcu_s_ID_212   0.0000         0.0014         
str_m3_o10_o17_pcu_s_ID_213   0.0124         9.0285         
str_m3_o10_o17_pcu_s_ID_214   2.0429         6.9374         
str_m3_o10_o17_pcu_s_ID_215   0.0015         0.4969         
str_m3_o10_o17_pcu_s_ID_216   1.2814         5.5844         
str_m3_o10_o17_pcu_s_ID_217   0.3004         5.9740         
str_m3_o10_o17_pcu_s_ID_218   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_219   0.0000         0.0002         
str_m3_o10_o17_pcu_s_ID_220   0.0852         1.0734         
str_m3_o10_o17_pcu_s_ID_221   0.0826         0.2348         
str_m3_o10_o17_pcu_s_ID_222   0.0000         3.9685         
str_m3_o10_o17_pcu_s_ID_223   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_224   0.0012         0.5493         
str_m3_o10_o17_pcu_s_ID_225   0.0000         1.2629         
str_m3_o10_o17_pcu_s_ID_226   0.2437         2.8621         
str_m3_o10_o17_pcu_s_ID_227   0.6484         2.3600         
str_m3_o10_o17_pcu_s_ID_228   0.2082         0.4570         
str_m3_o10_o17_pcu_s_ID_229   1.8107         3.6513         
str_m3_o10_o17_pcu_s_ID_230   0.0000         0.0010         
str_m3_o10_o17_pcu_s_ID_231   0.0000         0.5016         
str_m3_o10_o17_pcu_s_ID_232   2.9611         8.3776         
str_m3_o10_o17_pcu_s_ID_233   0.0000         0.5996         
str_m3_o10_o17_pcu_s_ID_234   0.0095         0.1318         
str_m3_o10_o17_pcu_s_ID_235   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_236   0.3885         2.0536         
str_m3_o10_o17_pcu_s_ID_237   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_238   0.0000         1.1168         
str_m3_o10_o17_pcu_s_ID_239   0.0651         0.9283         
str_m3_o10_o17_pcu_s_ID_240   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_241   0.0002         0.0013         
str_m3_o10_o17_pcu_s_ID_242   0.0175         0.3424         
str_m3_o10_o17_pcu_s_ID_243   5.3519         5.1564         
str_m3_o10_o17_pcu_s_ID_244   0.2182         0.4562         
str_m3_o10_o17_pcu_s_ID_245   0.0204         0.0467         
str_m3_o10_o17_pcu_s_ID_246   0.0000         0.1063         
str_m3_o10_o17_pcu_s_ID_247   0.0789         0.7105         
str_m3_o10_o17_pcu_s_ID_248   0.1189         0.0036         
str_m3_o10_o17_pcu_s_ID_249   0.2273         0.5215         
str_m3_o10_o17_pcu_s_ID_250   0.0079         0.0072         
str_m3_o10_o17_pcu_s_ID_251   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_252   0.6676         7.1854         
str_m3_o10_o17_pcu_s_ID_253   0.5213         3.9938         
str_m3_o10_o17_pcu_s_ID_254   0.0000         1.3119         
str_m3_o10_o17_pcu_s_ID_255   0.1133         0.9677         
str_m3_o10_o17_pcu_s_ID_256   6.7245         8.0000         
str_m3_o10_o17_pcu_s_ID_257   0.0319         3.3598         
str_m3_o10_o17_pcu_s_ID_258   0.0130         3.2574         
str_m3_o10_o17_pcu_s_ID_259   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_260   1.0000         6.0000         
str_m3_o10_o17_pcu_s_ID_261   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_262   0.0531         0.0000         
str_m3_o10_o17_pcu_s_ID_263   0.0027         0.0731         
str_m3_o10_o17_pcu_s_ID_264   0.6883         1.9762         
str_m3_o10_o17_pcu_s_ID_265   0.0806         0.2803         
str_m3_o10_o17_pcu_s_ID_266   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_267   0.0012         2.6185         
str_m3_o10_o17_pcu_s_ID_268   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_269   0.0000         0.0000         
str_m3_o10_o17_pcu_s_ID_270   0.0053         0.9071         
str_m3_o10_o17_pcu_s_ID_271   6.5164         9.0000         
str_m3_o10_o17_pcu_s_ID_272   0.0143         0.0065         
str_m3_o10_o17_pcu_s_ID_273   0.1988         3.7509         
str_m3_o10_o17_pcu_s_ID_274   0.0767         0.7068         
str_m3_o10_o17_pcu_s_ID_275   0.0000         6.6613         
str_m3_o10_o17_pcu_s_ID_276   0.0000         0.3576         
