MaterialsName                0.01kPa        0.1kPa         

str_m2_o10_o16_pcu_s_ID_1     1.8152         11.4155        
str_m2_o10_o16_pcu_s_ID_10    1.2567         5.3776         
str_m2_o10_o16_pcu_s_ID_100   0.9620         8.7141         
str_m2_o10_o16_pcu_s_ID_101   0.8186         7.9917         
str_m2_o10_o16_pcu_s_ID_102   1.8348         12.0274        
str_m2_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_105   0.0009         0.0059         
str_m2_o10_o16_pcu_s_ID_106   0.2645         2.3365         
str_m2_o10_o16_pcu_s_ID_107   1.0060         9.5110         
str_m2_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_109   4.8900         9.4876         
str_m2_o10_o16_pcu_s_ID_11    3.1718         4.5272         
str_m2_o10_o16_pcu_s_ID_110   0.8350         7.7198         
str_m2_o10_o16_pcu_s_ID_111   2.1656         13.4283        
str_m2_o10_o16_pcu_s_ID_112   1.6019         11.0393        
str_m2_o10_o16_pcu_s_ID_113   0.9596         8.9699         
str_m2_o10_o16_pcu_s_ID_114   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_115   2.1953         12.8265        
str_m2_o10_o16_pcu_s_ID_116   0.3685         4.0446         
str_m2_o10_o16_pcu_s_ID_117   1.0854         9.1136         
str_m2_o10_o16_pcu_s_ID_118   0.2130         2.3162         
str_m2_o10_o16_pcu_s_ID_119   8.8417         12.2430        
str_m2_o10_o16_pcu_s_ID_12    0.5701         5.3111         
str_m2_o10_o16_pcu_s_ID_120   0.0001         0.0017         
str_m2_o10_o16_pcu_s_ID_121   0.7182         6.8752         
str_m2_o10_o16_pcu_s_ID_122   0.0094         0.0916         
str_m2_o10_o16_pcu_s_ID_123   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_125   0.6009         5.8937         
str_m2_o10_o16_pcu_s_ID_126   2.6941         3.2425         
str_m2_o10_o16_pcu_s_ID_127   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_128   0.3964         4.5328         
str_m2_o10_o16_pcu_s_ID_129   1.1252         8.9440         
str_m2_o10_o16_pcu_s_ID_13    5.8610         16.8347        
str_m2_o10_o16_pcu_s_ID_130   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_131   0.5247         5.7754         
str_m2_o10_o16_pcu_s_ID_132   2.4147         13.3261        
str_m2_o10_o16_pcu_s_ID_133   0.2210         2.3061         
str_m2_o10_o16_pcu_s_ID_134   0.3809         4.2587         
str_m2_o10_o16_pcu_s_ID_135   0.0007         0.0021         
str_m2_o10_o16_pcu_s_ID_136   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_137   0.0016         0.0520         
str_m2_o10_o16_pcu_s_ID_138   0.3603         3.9257         
str_m2_o10_o16_pcu_s_ID_139   0.5237         4.8687         
str_m2_o10_o16_pcu_s_ID_14    0.4438         4.1455         
str_m2_o10_o16_pcu_s_ID_140   0.1750         1.6834         
str_m2_o10_o16_pcu_s_ID_141   0.0423         0.3232         
str_m2_o10_o16_pcu_s_ID_142   0.4782         3.7041         
str_m2_o10_o16_pcu_s_ID_143   0.1926         1.9936         
str_m2_o10_o16_pcu_s_ID_144   0.0081         0.1063         
str_m2_o10_o16_pcu_s_ID_145   0.6942         6.0617         
str_m2_o10_o16_pcu_s_ID_146   0.4059         4.2136         
str_m2_o10_o16_pcu_s_ID_147   4.8356         15.5928        
str_m2_o10_o16_pcu_s_ID_148   0.4326         3.4022         
str_m2_o10_o16_pcu_s_ID_149   0.1363         1.3687         
str_m2_o10_o16_pcu_s_ID_15    0.0000         0.0000         
