MaterialsName                0.01kPa        0.1kPa         

str_m1_o10_o16_pcu_s_ID_1     0.0879         0.9244         
str_m1_o10_o16_pcu_s_ID_10    0.6007         6.4154         
str_m1_o10_o16_pcu_s_ID_100   0.0316         0.3251         
str_m1_o10_o16_pcu_s_ID_101   2.9355         13.0531        
str_m1_o10_o16_pcu_s_ID_102   0.2095         2.0932         
str_m1_o10_o16_pcu_s_ID_103   0.1557         1.6001         
str_m1_o10_o16_pcu_s_ID_104   0.2042         2.0990         
str_m1_o10_o16_pcu_s_ID_105   0.2248         2.3663         
str_m1_o10_o16_pcu_s_ID_106   0.6317         5.3820         
str_m1_o10_o16_pcu_s_ID_107   0.0489         0.4854         
str_m1_o10_o16_pcu_s_ID_108   0.0620         0.6125         
str_m1_o10_o16_pcu_s_ID_109   0.1123         1.1642         
str_m1_o10_o16_pcu_s_ID_11    1.1361         7.8728         
str_m1_o10_o16_pcu_s_ID_110   0.1102         1.1219         
str_m1_o10_o16_pcu_s_ID_111   1.0006         10.3585        
str_m1_o10_o16_pcu_s_ID_112   0.1594         1.6708         
str_m1_o10_o16_pcu_s_ID_113   0.1234         1.2466         
str_m1_o10_o16_pcu_s_ID_114   0.0573         0.5853         
str_m1_o10_o16_pcu_s_ID_115   0.2390         2.3664         
str_m1_o10_o16_pcu_s_ID_116   0.0514         0.5264         
str_m1_o10_o16_pcu_s_ID_117   0.0491         0.4921         
str_m1_o10_o16_pcu_s_ID_118   0.1157         1.1828         
str_m1_o10_o16_pcu_s_ID_119   0.2738         2.6962         
str_m1_o10_o16_pcu_s_ID_12    0.0130         0.0813         
str_m1_o10_o16_pcu_s_ID_120   0.1701         1.7241         
str_m1_o10_o16_pcu_s_ID_121   0.0352         0.3612         
str_m1_o10_o16_pcu_s_ID_122   0.0310         0.3121         
str_m1_o10_o16_pcu_s_ID_123   0.2751         2.8093         
str_m1_o10_o16_pcu_s_ID_124   0.0443         0.4444         
str_m1_o10_o16_pcu_s_ID_125   0.0823         0.8156         
str_m1_o10_o16_pcu_s_ID_126   0.0856         0.8828         
str_m1_o10_o16_pcu_s_ID_127   0.0550         0.5494         
str_m1_o10_o16_pcu_s_ID_128   0.0610         0.6226         
str_m1_o10_o16_pcu_s_ID_129   0.1296         1.3653         
str_m1_o10_o16_pcu_s_ID_13    0.0541         0.5453         
str_m1_o10_o16_pcu_s_ID_130   0.0563         0.5800         
str_m1_o10_o16_pcu_s_ID_131   0.0285         0.2900         
str_m1_o10_o16_pcu_s_ID_132   0.0507         0.5138         
str_m1_o10_o16_pcu_s_ID_133   0.0340         0.3470         
str_m1_o10_o16_pcu_s_ID_134   0.0424         0.4304         
