MaterialsName                 9.99kPa        99.9kPa        

str_m1_o10_o16_pcu_s_ID_1     -53.1728       -57.2653       
str_m1_o10_o16_pcu_s_ID_10    -63.8024       -64.3654       
str_m1_o10_o16_pcu_s_ID_100   -49.9948       -55.9806       
str_m1_o10_o16_pcu_s_ID_101   -57.3482       -57.4615       
str_m1_o10_o16_pcu_s_ID_102   -51.2576       -55.8062       
str_m1_o10_o16_pcu_s_ID_103   -57.4537       -59.1662       
str_m1_o10_o16_pcu_s_ID_104   -52.4769       -54.0977       
str_m1_o10_o16_pcu_s_ID_105   -54.4417       -55.0696       
str_m1_o10_o16_pcu_s_ID_106   -57.1709       -57.8542       
str_m1_o10_o16_pcu_s_ID_107   -47.4298       -53.5648       
str_m1_o10_o16_pcu_s_ID_108   -49.2366       -54.9606       
str_m1_o10_o16_pcu_s_ID_109   -51.6625       -56.1193       
str_m1_o10_o16_pcu_s_ID_11    -56.8665       -57.6159       
str_m1_o10_o16_pcu_s_ID_110   -53.9244       -56.0738       
str_m1_o10_o16_pcu_s_ID_111   -99.6574       -98.8016       
str_m1_o10_o16_pcu_s_ID_112   -52.2269       -56.7478       
str_m1_o10_o16_pcu_s_ID_113   -51.7093       -55.4679       
str_m1_o10_o16_pcu_s_ID_114   -47.3938       -54.6811       
str_m1_o10_o16_pcu_s_ID_115   -51.0839       -56.0149       
str_m1_o10_o16_pcu_s_ID_116   -50.7260       -56.1849       
str_m1_o10_o16_pcu_s_ID_117   -49.6162       -54.3407       
str_m1_o10_o16_pcu_s_ID_118   -60.0552       -61.8214       
str_m1_o10_o16_pcu_s_ID_119   -52.1722       -56.5566       
str_m1_o10_o16_pcu_s_ID_12    -36.8436       -44.7578       
str_m1_o10_o16_pcu_s_ID_120   -51.8471       -56.7892       
str_m1_o10_o16_pcu_s_ID_121   -49.1946       -54.7881       
str_m1_o10_o16_pcu_s_ID_122   -46.5064       -54.1509       
str_m1_o10_o16_pcu_s_ID_123   -55.1270       -57.9592       
str_m1_o10_o16_pcu_s_ID_124   -47.2854       -56.5431       
str_m1_o10_o16_pcu_s_ID_125   -47.1245       -51.7050       
str_m1_o10_o16_pcu_s_ID_126   -52.4218       -54.6792       
str_m1_o10_o16_pcu_s_ID_127   -51.7334       -55.6831       
str_m1_o10_o16_pcu_s_ID_128   -58.1247       -60.6172       
str_m1_o10_o16_pcu_s_ID_129   -54.5013       -57.0818       
str_m1_o10_o16_pcu_s_ID_13    -44.7370       -50.0785       
str_m1_o10_o16_pcu_s_ID_130   -51.8732       -55.7450       
str_m1_o10_o16_pcu_s_ID_131   -49.2770       -55.4995       
str_m1_o10_o16_pcu_s_ID_132   -49.4150       -54.0044       
str_m1_o10_o16_pcu_s_ID_133   -48.4524       -54.6480       
str_m1_o10_o16_pcu_s_ID_134   -50.6248       -56.6737       
str_m1_o10_o16_pcu_s_ID_135   -46.6492       -52.0020       
str_m1_o10_o16_pcu_s_ID_136   -48.8747       -55.0313       
str_m1_o10_o16_pcu_s_ID_137   -51.4819       -56.8922       
str_m1_o10_o16_pcu_s_ID_138   -58.4814       -58.9986       
str_m1_o10_o16_pcu_s_ID_139   -50.9193       -56.5987       
str_m1_o10_o16_pcu_s_ID_14    -50.7539       -53.8404       
str_m1_o10_o16_pcu_s_ID_140   -56.9817       -57.1998       
str_m1_o10_o16_pcu_s_ID_141   -49.1563       -50.4084       
str_m1_o10_o16_pcu_s_ID_142   -50.3231       -55.6096       
str_m1_o10_o16_pcu_s_ID_143   -50.0521       -55.6876       
str_m1_o10_o16_pcu_s_ID_144   -50.8390       -53.4146       
str_m1_o10_o16_pcu_s_ID_145   -58.9675       -60.5605       
str_m1_o10_o16_pcu_s_ID_146   -47.9608       -53.0759       
str_m1_o10_o16_pcu_s_ID_147   -50.3794       -55.3144       
str_m1_o10_o16_pcu_s_ID_148   -47.2408       -54.2835       
str_m1_o10_o16_pcu_s_ID_149   -59.9982       -61.9926       
str_m1_o10_o16_pcu_s_ID_15    -49.3846       -55.7109       
str_m1_o10_o16_pcu_s_ID_150   -469.9252      -263.9852      
str_m1_o10_o16_pcu_s_ID_151   -50.8170       -54.5263       
str_m1_o10_o16_pcu_s_ID_152   -53.0381       -57.4441       
str_m1_o10_o16_pcu_s_ID_153   -59.3342       -59.8477       
str_m1_o10_o16_pcu_s_ID_154   -53.5988       -56.2745       
str_m1_o10_o16_pcu_s_ID_155   -52.2358       -58.0972       
str_m1_o10_o16_pcu_s_ID_156   -47.5583       -54.3959       
str_m1_o10_o16_pcu_s_ID_157   -105.9287      -76.3066       
str_m1_o10_o16_pcu_s_ID_158   -48.9753       -51.5229       
str_m1_o10_o16_pcu_s_ID_159   -54.6104       -59.3521       
str_m1_o10_o16_pcu_s_ID_16    -52.5015       -56.8725       
str_m1_o10_o16_pcu_s_ID_160   -49.2174       -55.5327       
str_m1_o10_o16_pcu_s_ID_161   -58.0353       -60.3114       
str_m1_o10_o16_pcu_s_ID_162   -54.1666       -56.1633       
str_m1_o10_o16_pcu_s_ID_163   -49.7067       -53.9164       
str_m1_o10_o16_pcu_s_ID_164   -66.8102       -67.2707       
str_m1_o10_o16_pcu_s_ID_165   -54.5865       -57.7644       
str_m1_o10_o16_pcu_s_ID_166   -59.9498       -61.8582       
str_m1_o10_o16_pcu_s_ID_167   -52.8110       -55.9620       
str_m1_o10_o16_pcu_s_ID_168   -49.6011       -53.6374       
str_m1_o10_o16_pcu_s_ID_169   -49.1330       -55.4499       
str_m1_o10_o16_pcu_s_ID_17    -54.7831       -58.2980       
str_m1_o10_o16_pcu_s_ID_170   -52.2342       -56.1890       
str_m1_o10_o16_pcu_s_ID_171   -54.2257       -57.6602       
str_m1_o10_o16_pcu_s_ID_172   -51.7699       -56.9516       
str_m1_o10_o16_pcu_s_ID_173   -49.8243       -56.3101       
str_m1_o10_o16_pcu_s_ID_174   -50.5436       -57.8770       
str_m1_o10_o16_pcu_s_ID_175   -49.7805       -55.6484       
str_m1_o10_o16_pcu_s_ID_176   -47.7798       -53.8402       
str_m1_o10_o16_pcu_s_ID_177   -3151.1674     -3529.1745     
str_m1_o10_o16_pcu_s_ID_178   -50.1945       -55.2499       
str_m1_o10_o16_pcu_s_ID_179   -53.3092       -54.2988       
str_m1_o10_o16_pcu_s_ID_18    -56.1140       -57.4205       
str_m1_o10_o16_pcu_s_ID_180   -49.0242       -55.1030       
str_m1_o10_o16_pcu_s_ID_181   -50.1042       -55.5826       
str_m1_o10_o16_pcu_s_ID_182   -48.7626       -48.5534       
str_m1_o10_o16_pcu_s_ID_183   -55.1800       -56.4364       
str_m1_o10_o16_pcu_s_ID_184   -56.4462       -59.7391       
str_m1_o10_o16_pcu_s_ID_185   -70.4554       -71.2101       
str_m1_o10_o16_pcu_s_ID_186   -49.4489       -54.5780       
str_m1_o10_o16_pcu_s_ID_187   -46.8165       -55.2962       
str_m1_o10_o16_pcu_s_ID_188   -50.7944       -54.4239       
str_m1_o10_o16_pcu_s_ID_189   -49.5122       -55.0654       
str_m1_o10_o16_pcu_s_ID_19    -54.1445       -57.0512       
str_m1_o10_o16_pcu_s_ID_190   -48.0960       -55.0030       
str_m1_o10_o16_pcu_s_ID_191   -51.9740       -56.2741       
str_m1_o10_o16_pcu_s_ID_192   -58.0755       -59.9179       
str_m1_o10_o16_pcu_s_ID_193   -49.9027       -54.5989       
str_m1_o10_o16_pcu_s_ID_194   -58.5953       -59.5055       
str_m1_o10_o16_pcu_s_ID_195   -59.1165       -61.0416       
str_m1_o10_o16_pcu_s_ID_196   -58.0817       -58.2724       
str_m1_o10_o16_pcu_s_ID_197   -49.1131       -55.4680       
str_m1_o10_o16_pcu_s_ID_198   -51.6649       -52.5304       
str_m1_o10_o16_pcu_s_ID_199   -52.2901       -54.9422       
str_m1_o10_o16_pcu_s_ID_2     -51.4545       -53.0795       
str_m1_o10_o16_pcu_s_ID_20    -103.8386      -102.0937      
str_m1_o10_o16_pcu_s_ID_200   -53.4431       -57.2909       
str_m1_o10_o16_pcu_s_ID_201   -51.0731       -56.7252       
str_m1_o10_o16_pcu_s_ID_202   -74.9400       -74.1114       
str_m1_o10_o16_pcu_s_ID_203   -71.9498       -70.7213       
str_m1_o10_o16_pcu_s_ID_204   -70.3058       -68.5267       
str_m1_o10_o16_pcu_s_ID_205   -54.4819       -57.5760       
str_m1_o10_o16_pcu_s_ID_206   -47.3475       -53.3132       
str_m1_o10_o16_pcu_s_ID_207   -51.6995       -53.3433       
str_m1_o10_o16_pcu_s_ID_208   -52.5449       -55.0286       
str_m1_o10_o16_pcu_s_ID_209   -50.3187       -54.7870       
str_m1_o10_o16_pcu_s_ID_21    -47.2365       -55.4503       
str_m1_o10_o16_pcu_s_ID_210   -48.7163       -55.4998       
str_m1_o10_o16_pcu_s_ID_211   -310.9510      -300.0292      
str_m1_o10_o16_pcu_s_ID_212   -59.6878       -59.7844       
str_m1_o10_o16_pcu_s_ID_213   -49.7926       -52.9949       
str_m1_o10_o16_pcu_s_ID_214   -51.2576       -57.0291       
str_m1_o10_o16_pcu_s_ID_215   -3813.5661     -3088.0278     
str_m1_o10_o16_pcu_s_ID_216   -49.9030       -54.1405       
str_m1_o10_o16_pcu_s_ID_217   -63.3129       -63.9854       
str_m1_o10_o16_pcu_s_ID_218   -54.4315       -54.5653       
str_m1_o10_o16_pcu_s_ID_219   -49.0177       -55.6646       
str_m1_o10_o16_pcu_s_ID_22    -52.6105       -55.0382       
str_m1_o10_o16_pcu_s_ID_220   -56.0899       -57.7864       
str_m1_o10_o16_pcu_s_ID_221   -55.1921       -57.6689       
str_m1_o10_o16_pcu_s_ID_222   -53.7494       -57.7560       
str_m1_o10_o16_pcu_s_ID_223   -51.7448       -55.6364       
str_m1_o10_o16_pcu_s_ID_224   -50.6727       -54.2715       
str_m1_o10_o16_pcu_s_ID_225   -49.1206       -53.2875       
str_m1_o10_o16_pcu_s_ID_226   -49.4667       -50.6989       
str_m1_o10_o16_pcu_s_ID_227   -50.2143       -56.7571       
str_m1_o10_o16_pcu_s_ID_228   -45.0830       -50.3560       
str_m1_o10_o16_pcu_s_ID_229   -56.6860       -59.2249       
str_m1_o10_o16_pcu_s_ID_23    -51.3910       -54.4423       
str_m1_o10_o16_pcu_s_ID_230   -59.3874       -61.7376       
str_m1_o10_o16_pcu_s_ID_231   -55.2284       -58.0817       
str_m1_o10_o16_pcu_s_ID_232   -52.2262       -54.4074       
str_m1_o10_o16_pcu_s_ID_233   -47.7311       -51.9242       
str_m1_o10_o16_pcu_s_ID_234   -53.9420       -56.9155       
str_m1_o10_o16_pcu_s_ID_235   -53.1774       -57.2195       
str_m1_o10_o16_pcu_s_ID_236   -51.3322       -54.8431       
str_m1_o10_o16_pcu_s_ID_237   -55.0803       -57.1946       
str_m1_o10_o16_pcu_s_ID_238   -51.7657       -57.0523       
str_m1_o10_o16_pcu_s_ID_239   -54.0593       -56.3088       
str_m1_o10_o16_pcu_s_ID_24    -69.2469       -69.6209       
str_m1_o10_o16_pcu_s_ID_240   -53.4172       -54.3159       
str_m1_o10_o16_pcu_s_ID_241   -61.6172       -61.2174       
str_m1_o10_o16_pcu_s_ID_242   -52.7646       -56.0784       
str_m1_o10_o16_pcu_s_ID_243   -49.9948       -54.6125       
str_m1_o10_o16_pcu_s_ID_244   -53.9477       -57.7335       
str_m1_o10_o16_pcu_s_ID_245   -50.3959       -56.2332       
str_m1_o10_o16_pcu_s_ID_246   -55.4404       -58.2422       
str_m1_o10_o16_pcu_s_ID_247   -21601.6725     NULL   
str_m1_o10_o16_pcu_s_ID_248   -50.9518       -55.8657       
str_m1_o10_o16_pcu_s_ID_249   -51.6289       -56.9967       
