MaterialsName                 9.99kPa        

str_m1_o10_o16_pcu_s_ID_1     -59.9485       
str_m1_o10_o16_pcu_s_ID_10    -66.1272       
str_m1_o10_o16_pcu_s_ID_100   -58.8593       
str_m1_o10_o16_pcu_s_ID_101   -58.2209       
str_m1_o10_o16_pcu_s_ID_102   -57.7093       
str_m1_o10_o16_pcu_s_ID_103   -61.1067       
str_m1_o10_o16_pcu_s_ID_104   -55.9853       
str_m1_o10_o16_pcu_s_ID_105   -56.3075       
str_m1_o10_o16_pcu_s_ID_106   -59.4521       
str_m1_o10_o16_pcu_s_ID_107   -57.8185       
str_m1_o10_o16_pcu_s_ID_108   -57.6054       
str_m1_o10_o16_pcu_s_ID_109   -57.5047       
str_m1_o10_o16_pcu_s_ID_11    -58.4282       
str_m1_o10_o16_pcu_s_ID_110   -59.5292       
str_m1_o10_o16_pcu_s_ID_111   -100.5723      
str_m1_o10_o16_pcu_s_ID_112   -58.4100       
str_m1_o10_o16_pcu_s_ID_113   -58.8067       
str_m1_o10_o16_pcu_s_ID_114   -57.0967       
str_m1_o10_o16_pcu_s_ID_115   -59.1869       
str_m1_o10_o16_pcu_s_ID_116   -58.9558       
str_m1_o10_o16_pcu_s_ID_117   -58.0133       
str_m1_o10_o16_pcu_s_ID_118   -63.3414       
str_m1_o10_o16_pcu_s_ID_119   -59.7370       
str_m1_o10_o16_pcu_s_ID_12    -46.5956       
str_m1_o10_o16_pcu_s_ID_120   -59.7411       
str_m1_o10_o16_pcu_s_ID_121   -58.1392       
str_m1_o10_o16_pcu_s_ID_122   -57.8757       
str_m1_o10_o16_pcu_s_ID_123   -60.9593       
str_m1_o10_o16_pcu_s_ID_124   -58.3717       
str_m1_o10_o16_pcu_s_ID_125   -54.7772       
str_m1_o10_o16_pcu_s_ID_126   -57.2758       
str_m1_o10_o16_pcu_s_ID_127   -58.8192       
str_m1_o10_o16_pcu_s_ID_128   -62.7019       
str_m1_o10_o16_pcu_s_ID_129   -58.3148       
str_m1_o10_o16_pcu_s_ID_13    -53.0663       
str_m1_o10_o16_pcu_s_ID_130   -58.5545       
str_m1_o10_o16_pcu_s_ID_131   -58.7343       
str_m1_o10_o16_pcu_s_ID_132   -57.3719       
str_m1_o10_o16_pcu_s_ID_133   -58.2510       
str_m1_o10_o16_pcu_s_ID_134   -58.7942       
str_m1_o10_o16_pcu_s_ID_135   -55.2635       
str_m1_o10_o16_pcu_s_ID_136   -55.3692       
str_m1_o10_o16_pcu_s_ID_137   -58.8826       
str_m1_o10_o16_pcu_s_ID_138   -61.5234       
str_m1_o10_o16_pcu_s_ID_139   -60.0042       
str_m1_o10_o16_pcu_s_ID_14    -56.7284       
str_m1_o10_o16_pcu_s_ID_140   -58.6734       
str_m1_o10_o16_pcu_s_ID_141   -52.7909       
str_m1_o10_o16_pcu_s_ID_142   -58.8561       
str_m1_o10_o16_pcu_s_ID_143   -58.9353       
str_m1_o10_o16_pcu_s_ID_144   -55.2435       
str_m1_o10_o16_pcu_s_ID_145   -61.9867       
str_m1_o10_o16_pcu_s_ID_146   -57.0780       
str_m1_o10_o16_pcu_s_ID_147   -58.7073       
str_m1_o10_o16_pcu_s_ID_148   -57.3947       
str_m1_o10_o16_pcu_s_ID_149   -64.1253       
str_m1_o10_o16_pcu_s_ID_15    -57.8245       
str_m1_o10_o16_pcu_s_ID_150   -464.1062      
str_m1_o10_o16_pcu_s_ID_151   -56.5586       
str_m1_o10_o16_pcu_s_ID_152   -60.0503       
str_m1_o10_o16_pcu_s_ID_153   -62.7251       
str_m1_o10_o16_pcu_s_ID_154   -58.3484       
str_m1_o10_o16_pcu_s_ID_155   -60.6587       
str_m1_o10_o16_pcu_s_ID_156   -57.4992       
str_m1_o10_o16_pcu_s_ID_157   -76.6953       
str_m1_o10_o16_pcu_s_ID_158   -53.3823       
str_m1_o10_o16_pcu_s_ID_159   -60.2105       
str_m1_o10_o16_pcu_s_ID_16    -58.2008       
str_m1_o10_o16_pcu_s_ID_160   -57.7514       
str_m1_o10_o16_pcu_s_ID_161   -62.9026       
str_m1_o10_o16_pcu_s_ID_162   -59.0058       
str_m1_o10_o16_pcu_s_ID_163   -56.2095       
str_m1_o10_o16_pcu_s_ID_164   -68.9246       
str_m1_o10_o16_pcu_s_ID_165   -60.5450       
str_m1_o10_o16_pcu_s_ID_166   -62.8480       
str_m1_o10_o16_pcu_s_ID_167   -57.2292       
str_m1_o10_o16_pcu_s_ID_168   -58.1592       
str_m1_o10_o16_pcu_s_ID_169   -56.9589       
str_m1_o10_o16_pcu_s_ID_17    -59.7335       
str_m1_o10_o16_pcu_s_ID_170   -58.3026       
str_m1_o10_o16_pcu_s_ID_171   -60.4064       
str_m1_o10_o16_pcu_s_ID_172   -58.8484       
str_m1_o10_o16_pcu_s_ID_173   -59.5121       
str_m1_o10_o16_pcu_s_ID_174   -60.6071       
str_m1_o10_o16_pcu_s_ID_175   -58.0666       
str_m1_o10_o16_pcu_s_ID_176   -57.5590       
str_m1_o10_o16_pcu_s_ID_177   -1276.7955     
str_m1_o10_o16_pcu_s_ID_178   -58.1849       
str_m1_o10_o16_pcu_s_ID_179   -55.5209       
str_m1_o10_o16_pcu_s_ID_18    -60.4594       
str_m1_o10_o16_pcu_s_ID_180   -57.6974       
str_m1_o10_o16_pcu_s_ID_181   -57.5869       
str_m1_o10_o16_pcu_s_ID_182   -49.2885       
str_m1_o10_o16_pcu_s_ID_183   -57.8535       
str_m1_o10_o16_pcu_s_ID_184   -61.4693       
str_m1_o10_o16_pcu_s_ID_185   -72.5199       
str_m1_o10_o16_pcu_s_ID_186   -57.4056       
str_m1_o10_o16_pcu_s_ID_187   -58.1584       
str_m1_o10_o16_pcu_s_ID_188   -57.7214       
str_m1_o10_o16_pcu_s_ID_189   -56.8479       
str_m1_o10_o16_pcu_s_ID_19    -59.6763       
str_m1_o10_o16_pcu_s_ID_190   -57.0929       
str_m1_o10_o16_pcu_s_ID_191   -59.7438       
str_m1_o10_o16_pcu_s_ID_192   -62.0653       
str_m1_o10_o16_pcu_s_ID_193   -56.5221       
str_m1_o10_o16_pcu_s_ID_194   -60.9823       
str_m1_o10_o16_pcu_s_ID_195   -62.8910       
str_m1_o10_o16_pcu_s_ID_196   -59.7545       
str_m1_o10_o16_pcu_s_ID_197   -58.1332       
str_m1_o10_o16_pcu_s_ID_198   -53.6903       
str_m1_o10_o16_pcu_s_ID_199   -57.3701       
str_m1_o10_o16_pcu_s_ID_2     -54.2067       
str_m1_o10_o16_pcu_s_ID_20    -103.0319      
str_m1_o10_o16_pcu_s_ID_200   -60.1638       
str_m1_o10_o16_pcu_s_ID_201   -59.9902       
str_m1_o10_o16_pcu_s_ID_202   -75.0018       
str_m1_o10_o16_pcu_s_ID_203   -70.4854       
str_m1_o10_o16_pcu_s_ID_204   -69.7427       
str_m1_o10_o16_pcu_s_ID_205   -59.2459       
str_m1_o10_o16_pcu_s_ID_206   -54.9241       
str_m1_o10_o16_pcu_s_ID_207   -55.0740       
str_m1_o10_o16_pcu_s_ID_208   -58.6684       
str_m1_o10_o16_pcu_s_ID_209   -57.0915       
str_m1_o10_o16_pcu_s_ID_21    -58.8544       
str_m1_o10_o16_pcu_s_ID_210   -59.3811       
str_m1_o10_o16_pcu_s_ID_211   -295.6413      
