MaterialsName                 10.0kPa        

str_m2_o10_o16_pcu_s_ID_1     -59.6928       
str_m2_o10_o16_pcu_s_ID_10    -336.4716      
str_m2_o10_o16_pcu_s_ID_100   -59.0269       
str_m2_o10_o16_pcu_s_ID_101   -59.4165       
str_m2_o10_o16_pcu_s_ID_102   -62.7929       
str_m2_o10_o16_pcu_s_ID_103   -91.1162       
str_m2_o10_o16_pcu_s_ID_104   0.0000         
str_m2_o10_o16_pcu_s_ID_105   -76.3719       
str_m2_o10_o16_pcu_s_ID_106   -60.3890       
str_m2_o10_o16_pcu_s_ID_107   -59.3105       
str_m2_o10_o16_pcu_s_ID_108   0.0000         
str_m2_o10_o16_pcu_s_ID_109   -276.3388      
str_m2_o10_o16_pcu_s_ID_11    -92.6391       
str_m2_o10_o16_pcu_s_ID_110   -59.5752       
str_m2_o10_o16_pcu_s_ID_111   -62.1762       
str_m2_o10_o16_pcu_s_ID_112   -60.2909       
str_m2_o10_o16_pcu_s_ID_113   -58.9993       
str_m2_o10_o16_pcu_s_ID_114   0.0000         
str_m2_o10_o16_pcu_s_ID_115   -63.0469       
str_m2_o10_o16_pcu_s_ID_116   -57.2777       
str_m2_o10_o16_pcu_s_ID_117   -58.4556       
str_m2_o10_o16_pcu_s_ID_118   -63.2122       
str_m2_o10_o16_pcu_s_ID_119   -351.6566      
str_m2_o10_o16_pcu_s_ID_12    -59.0922       
str_m2_o10_o16_pcu_s_ID_120   -63.2945       
str_m2_o10_o16_pcu_s_ID_121   -58.2074       
str_m2_o10_o16_pcu_s_ID_122   -51.2251       
str_m2_o10_o16_pcu_s_ID_123   0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         
str_m2_o10_o16_pcu_s_ID_125   -56.3817       
str_m2_o10_o16_pcu_s_ID_126   -137.2596      
str_m2_o10_o16_pcu_s_ID_127   0.0000         
str_m2_o10_o16_pcu_s_ID_128   -58.4111       
str_m2_o10_o16_pcu_s_ID_129   -58.1495       
str_m2_o10_o16_pcu_s_ID_13    -66.8456       
str_m2_o10_o16_pcu_s_ID_130   0.0000         
str_m2_o10_o16_pcu_s_ID_131   -55.5143       
str_m2_o10_o16_pcu_s_ID_132   -61.2747       
str_m2_o10_o16_pcu_s_ID_133   -59.6015       
str_m2_o10_o16_pcu_s_ID_134   -78.0615       
str_m2_o10_o16_pcu_s_ID_135   -89.5602       
str_m2_o10_o16_pcu_s_ID_136   0.0000         
str_m2_o10_o16_pcu_s_ID_137   -7.9881        
str_m2_o10_o16_pcu_s_ID_138   -56.3237       
str_m2_o10_o16_pcu_s_ID_139   -58.3216       
str_m2_o10_o16_pcu_s_ID_14    -57.2898       
str_m2_o10_o16_pcu_s_ID_140   -58.3160       
str_m2_o10_o16_pcu_s_ID_141   -75.7867       
str_m2_o10_o16_pcu_s_ID_142   -63.6514       
str_m2_o10_o16_pcu_s_ID_143   -60.6806       
str_m2_o10_o16_pcu_s_ID_144   -81.1469       
str_m2_o10_o16_pcu_s_ID_145   -57.0695       
str_m2_o10_o16_pcu_s_ID_146   -60.5196       
str_m2_o10_o16_pcu_s_ID_147   -83.1890       
str_m2_o10_o16_pcu_s_ID_148   -61.9419       
str_m2_o10_o16_pcu_s_ID_149   -58.9751       
str_m2_o10_o16_pcu_s_ID_15    0.0000         
str_m2_o10_o16_pcu_s_ID_150   -60.0313       
str_m2_o10_o16_pcu_s_ID_151   -57.4366       
str_m2_o10_o16_pcu_s_ID_152   -5.7573        
str_m2_o10_o16_pcu_s_ID_153   -61.2995       
str_m2_o10_o16_pcu_s_ID_154   -56.9445       
str_m2_o10_o16_pcu_s_ID_155   -60.7522       
str_m2_o10_o16_pcu_s_ID_156   -62.4292       
str_m2_o10_o16_pcu_s_ID_157   -2079.3681     
str_m2_o10_o16_pcu_s_ID_158   -69.1169       
str_m2_o10_o16_pcu_s_ID_159   -47.3704       
str_m2_o10_o16_pcu_s_ID_16    -61.4608       
str_m2_o10_o16_pcu_s_ID_160   -59.5919       
str_m2_o10_o16_pcu_s_ID_161   -66.7775       
str_m2_o10_o16_pcu_s_ID_162   -55.4213       
str_m2_o10_o16_pcu_s_ID_163   0.0000         
str_m2_o10_o16_pcu_s_ID_164   -61.2939       
str_m2_o10_o16_pcu_s_ID_165   -44.4947       
str_m2_o10_o16_pcu_s_ID_166   -14.1293       
str_m2_o10_o16_pcu_s_ID_167   -59.3834       
