	Di	Df	Dif	Unitcell_volume:	Density:	ASA_A^2:	ASA_m^2/cm^3:	ASA_m^2/g:	NASA_A^2:	NASA_m^2/cm^3:	NASA_m^2/g:	AV_A^3:	AV_Volume_fraction:	AV_cm^3/g:	NAV_A^3:	NAV_Volume_fraction:	NAV_cm^3/g:
str_m1_o5_o17_pcu_sym.43.res	10.0829	7.04013	9.87549	34878.3	0.699262	8103.37	2323.33	3322.54	0	0	0	14298	0.40994	0.586246	0	0	0
str_m1_o5_o17_pcu_sym.44.res	11.18013	6.6939	11.18013	34835.6	0.98652	7913.76	2271.75	2302.79	0	0	0	13383.8	0.3842	0.38945	0	0	0
str_m1_o5_o17_pcu_sym.45.res	11.8914	7.684	11.8494	34884.7	0.656401	8426.56	2415.54	3679.98	0	0	0	15922.8	0.45644	0.695368	0	0	0
str_m1_o5_o17_pcu_sym.46.res	10.79434	7.57965	10.78086	34859.8	0.842549	8090.78	2320.95	2754.67	0	0	0	14079.2	0.40388	0.479355	0	0	0
str_m1_o5_o17_pcu_sym.47.res	10.94338	3.59996	10.94338	34962.3	0.831574	8323.44	2380.69	2862.87	51.7257	14.7947	17.7912	8125.94	0.23242	0.279494	10.4887	0.0003	0.000361
str_m1_o5_o17_pcu_sym.48.res	12.74462	6.9421	12.73968	34852.2	0.602156	8303.04	2382.35	3956.37	0	0	0	16589	0.47598	0.79046	0	0	0
str_m1_o5_o17_pcu_sym.49.res	12.36825	3.76567	12.36825	34808.3	0.84736	8309.83	2387.32	2817.36	0	0	0	11317.6	0.32514	0.38371	0	0	0
str_m1_o5_o17_pcu_sym.5.res	11.00158	4.92051	10.99048	34866.1	0.778949	8617.2	2471.51	3172.88	0	0	0	9632.8	0.27628	0.354683	0	0	0
str_m1_o5_o17_pcu_sym.50.res	8.97981	2.70104	8.97981	35204.5	1.05558	0	0	0	5192.16	1474.86	1397.21	0	0	0	4247.07	0.12064	0.114288
str_m1_o5_o17_pcu_sym.51.res	12.24855	6.18079	9.42736	34709.3	0.782468	7914.51	2280.23	2914.15	0	0	0	9697.08	0.27938	0.35705	0	0	0
str_m1_o5_o17_pcu_sym.52.res	12.08321	5.03171	12.08321	34884.5	0.687065	8812.26	2526.12	3676.69	0	0	0	12406.3	0.35564	0.517622	0	0	0
str_m1_o5_o17_pcu_sym.53.res	9.20741	6.65628	9.20714	34768.7	1.07417	9256.01	2662.17	2478.35	0	0	0	8742.93	0.25146	0.234097	0	0	0
str_m1_o5_o17_pcu_sym.54.res	11.77733	6.26594	11.75991	34895.5	0.686713	9306.9	2667.08	3883.83	0	0	0	13593.2	0.38954	0.567253	0	0	0
str_m1_o5_o17_pcu_sym.55.res	11.43749	3.65859	11.43749	34783.4	0.890817	6812.4	1958.52	2198.57	0	0	0	8711.85	0.25046	0.281158	0	0	0
str_m1_o5_o17_pcu_sym.56.res	10.07924	5.91507	10.07924	34886.6	0.687023	8988.81	2576.58	3750.36	0	0	0	12578.7	0.36056	0.524815	0	0	0
str_m1_o5_o17_pcu_sym.57.res	12.57193	5.68896	12.57141	34866.5	0.706899	8707.26	2497.31	3532.77	0	0	0	14470.3	0.41502	0.5871	0	0	0
str_m1_o5_o17_pcu_sym.58.res	10.48927	7.922	10.48891	34877.6	0.706675	8180.73	2345.56	3319.14	0	0	0	14640.2	0.41976	0.593993	0	0	0
str_m1_o5_o17_pcu_sym.59.res	10.22408	7.91333	10.22408	34936.4	0.676783	8267.21	2366.36	3496.48	0	0	0	14226.1	0.4072	0.60167	0	0	0
str_m1_o5_o17_pcu_sym.6.res	8.9781	6.50508	8.97165	34924.7	0.768379	7960.25	2279.26	2966.33	0	0	0	11861.1	0.33962	0.441995	0	0	0
str_m1_o5_o17_pcu_sym.60.res	10.12096	5.51655	10.10641	34871.7	0.730066	8080.02	2317.07	3173.79	0	0	0	11012.5	0.3158	0.432564	0	0	0
str_m1_o5_o17_pcu_sym.61.res	10.10212	4.77395	10.10212	34837.1	0.773313	9062.79	2601.48	3364.07	0	0	0	11586.1	0.33258	0.430071	0	0	0
str_m1_o5_o17_pcu_sym.62.res	12.74462	6.94185	12.74357	34852.2	0.602156	8308	2383.78	3958.74	0	0	0	16588.3	0.47596	0.790427	0	0	0
str_m1_o5_o17_pcu_sym.63.res	10.25496	6.93177	10.24197	34898.6	0.692804	8138.1	2331.92	3365.92	0	0	0	13970.6	0.40032	0.577826	0	0	0
str_m1_o5_o17_pcu_sym.64.res	12.70185	5.70915	12.70155	34874.6	0.647525	8709.61	2497.41	3856.85	0	0	0	14759.6	0.42322	0.653597	0	0	0
str_m1_o5_o17_pcu_sym.65.res	8.64307	4.2757	8.6328	34802.8	0.826215	8001.69	2299.15	2782.75	0.038956	0.011194	0.013548	9077.27	0.26082	0.31568	0	0	0
str_m1_o5_o17_pcu_sym.66.res	12.69735	5.22041	12.66446	34880.8	0.687003	8510.91	2440	3551.66	0	0	0	14074.4	0.4035	0.587334	0	0	0
str_m1_o5_o17_pcu_sym.67.res	12.27094	5.22397	12.26289	34899	0.762804	8231.13	2358.55	3091.95	0	0	0	12114.9	0.34714	0.455084	0	0	0
str_m1_o5_o17_pcu_sym.68.res	11.1396	5.51919	11.00682	34747.8	0.7387	8690.97	2501.16	3385.89	0	0	0	11095	0.3193	0.432246	0	0	0
str_m1_o5_o17_pcu_sym.69.res	9.51894	7.39547	9.51878	34894.7	0.738466	9220.8	2642.47	3578.32	0	0	0	12971	0.37172	0.503368	0	0	0
str_m1_o5_o17_pcu_sym.7.res	8.16873	3.57147	8.16873	34706.5	0.862396	7582.79	2184.83	2533.44	2.7659	0.796941	0.924101	4905.42	0.14134	0.163892	0	0	0
str_m1_o5_o17_pcu_sym.70.res	10.16616	7.95538	10.16615	34912.3	0.698522	8153.18	2335.33	3343.24	0	0	0	14615	0.41862	0.599294	0	0	0
str_m1_o5_o17_pcu_sym.71.res	8.90739	6.86324	8.90355	34818.1	0.750696	8602.5	2470.7	3291.21	0	0	0	12645.2	0.36318	0.483791	0	0	0
str_m1_o5_o17_pcu_sym.72.res	12.59272	4.95192	12.59237	34844.8	0.986259	8284.32	2377.49	2410.61	0	0	0	13393.6	0.38438	0.389735	0	0	0
str_m1_o5_o17_pcu_sym.73.res	10.53275	4.30224	10.525	34837.3	0.870922	7759.32	2227.3	2557.41	0	0	0	9783.01	0.28082	0.32244	0	0	0
str_m1_o5_o17_pcu_sym.74.res	11.47078	6.05282	11.36901	34864.6	0.811933	8385.33	2405.11	2962.21	0	0	0	12936.9	0.37106	0.457008	0	0	0
str_m1_o5_o17_pcu_sym.75.res	8.71919	4.9278	8.71919	34756.5	1.07757	8833.8	2541.63	2358.67	0	0	0	9997.35	0.28764	0.266935	0	0	0
str_m1_o5_o17_pcu_sym.76.res	10.08176	4.41174	10.08176	34722.3	0.867903	7762.79	2235.68	2575.95	0	0	0	7275.03	0.20952	0.241409	0	0	0
str_m1_o5_o17_pcu_sym.77.res	11.21305	6.872	11.21305	34957.5	0.722022	7812.76	2234.93	3095.37	0	0	0	13276.2	0.37978	0.525995	0	0	0
str_m1_o5_o17_pcu_sym.78.res	11.19428	4.34821	11.18664	34802.7	1.07914	8006.51	2300.54	2131.83	0	0	0	10239	0.2942	0.272625	0	0	0
str_m1_o5_o17_pcu_sym.79.res	12.32978	4.79623	12.32978	34788.4	1.07343	7727.9	2221.4	2069.45	0	0	0	11090.5	0.3188	0.296993	0	0	0
str_m1_o5_o17_pcu_sym.8.res	12.74465	6.9417	12.73915	34852.2	0.602156	8308.47	2383.91	3958.97	0	0	0	16589	0.47598	0.79046	0	0	0
str_m1_o5_o17_pcu_sym.80.res	12.27556	5.94955	12.22926	34854.1	0.644894	8684.99	2491.81	3863.91	0	0	0	14424	0.41384	0.641718	0	0	0
str_m1_o5_o17_pcu_sym.81.res	9.34377	7.76251	9.30063	34898.5	0.689797	8095.19	2319.64	3362.78	0	0	0	12933.4	0.3706	0.537259	0	0	0
str_m1_o5_o17_pcu_sym.82.res	12.20994	5.71037	12.20725	34852.1	0.693716	8835.5	2535.14	3654.44	0	0	0	13398.5	0.38444	0.554175	0	0	0
str_m1_o5_o17_pcu_sym.83.res	12.43084	5.64363	12.43084	34856.5	0.84263	8687.43	2492.35	2957.82	0	0	0	14114.1	0.40492	0.480543	0	0	0
str_m1_o5_o17_pcu_sym.84.res	8.08924	4.04701	7.37723	34934.5	0.954109	6960.19	1992.35	2088.18	0	0	0	5029.17	0.14396	0.150884	0	0	0
str_m1_o5_o17_pcu_sym.85.res	12.53162	7.92408	12.53162	34834.3	0.736731	8330.59	2391.49	3246.08	94.9701	27.2634	37.0059	12853.2	0.36898	0.500834	13.237	0.00038	0.000516
str_m1_o5_o17_pcu_sym.86.res	8.57126	4.11754	8.54205	34782.3	0.777819	9705.97	2790.49	3587.59	0	0	0	8055.58	0.2316	0.297756	0	0	0
str_m1_o5_o17_pcu_sym.87.res	9.83621	7.91295	9.5778	34897	0.64711	8571.33	2456.18	3795.61	0	0	0	14940.8	0.42814	0.661619	0	0	0
str_m1_o5_o17_pcu_sym.88.res	9.96431	4.7452	9.92229	34745.7	0.778637	7970.95	2294.08	2946.28	0	0	0	9236.11	0.26582	0.341391	0	0	0
str_m1_o5_o17_pcu_sym.89.res	9.52523	4.79016	9.31305	34924.3	0.823342	7884.68	2257.65	2742.06	0	0	0	9025.83	0.25844	0.313891	0	0	0
str_m1_o5_o17_pcu_sym.9.res	10.38424	4.70378	10.37705	34593.5	0.735935	9072.79	2622.68	3563.74	0	0	0	9755.38	0.282	0.383186	0	0	0
str_m1_o5_o17_pcu_sym.90.res	9.63065	6.99321	9.62655	34860.1	0.736319	8110.58	2326.61	3159.78	0	0	0	11627.9	0.33356	0.45301	0	0	0
str_m1_o5_o17_pcu_sym.91.res	10.14984	7.09248	10.14984	34918.5	0.741013	8356.74	2393.21	3229.65	0	0	0	13885.7	0.39766	0.536644	0	0	0
str_m1_o5_o17_pcu_sym.92.res	11.32266	1.66858	11.32266	34684.3	0.973219	0	0	0	4974.78	1434.3	1473.77	0	0	0	7144.28	0.20598	0.211648
str_m1_o5_o17_pcu_sym.93.res	9.68471	2.99754	9.68471	35551	0.901666	6605.59	1858.06	2060.69	25.7751	7.25017	8.04085	7537.53	0.21202	0.235142	4.97715	0.00014	0.000155
str_m1_o5_o17_pcu_sym.94.res	8.89091	4.28415	8.89091	34805.4	0.823003	8261.95	2373.76	2884.26	0	0	0	8851.01	0.2543	0.30899	0	0	0
str_m1_o5_o17_pcu_sym.95.res	9.38495	5.86277	9.38495	34873.2	0.736056	8419.42	2414.3	3280.04	0	0	0	11771.1	0.33754	0.458579	0	0	0
str_m1_o5_o17_pcu_sym.96.res	8.92795	5.63495	8.70462	34864.1	0.781871	8277.05	2374.09	3036.42	0	0	0	11634.8	0.33372	0.426822	0	0	0
str_m1_o5_o17_pcu_sym.97.res	11.77469	4.99382	11.77469	34863.1	1.03451	8545.65	2451.2	2369.43	0	0	0	12282.3	0.3523	0.340547	0	0	0
str_m1_o5_o17_pcu_sym.98.res	12.57166	5.22217	12.57166	34833.6	0.891996	8907.69	2557.21	2866.84	0	0	0	12735.8	0.36562	0.40989	0	0	0
str_m1_o5_o17_pcu_sym.99.res	9.23985	5.31652	9.23985	34797.9	0.765155	9268.32	2663.47	3480.95	0	0	0	9650.86	0.27734	0.362462	0	0	0
str_m2_o10_o16_pcu_sym.1.res	5.08131	3.77908	4.91599	15116.7	1.11412	3042.47	2012.65	1806.49	0	0	0	1351.74	0.08942	0.08026	0	0	0
str_m2_o10_o16_pcu_sym.10.res	5.33347	3.32563	5.33347	14856.5	1.44734	1662.47	1119.02	773.159	0	0	0	562.17	0.03784	0.026145	0	0	0
str_m2_o10_o16_pcu_sym.100.res	4.79573	2.58364	4.17483	14763.9	1.39995	0	0	0	1043.08	706.506	504.666	0	0	0	350.494	0.02374	0.016958
str_m2_o10_o16_pcu_sym.101.res	5.51107	4.66373	5.49578	14979.7	1.0983	3288.58	2195.35	1998.87	0	0	0	2013.57	0.13442	0.12239	0	0	0
str_m2_o10_o16_pcu_sym.103.res	4.81288	3.54865	4.81288	15168.4	1.20106	2241.69	1477.87	1230.47	0	0	0	883.406	0.05824	0.04849	0	0	0
str_m2_o10_o16_pcu_sym.104.res	5.50068	4.62983	5.48962	14945.7	1.10276	3318.86	2220.61	2013.68	0	0	0	2012.89	0.13468	0.12213	0	0	0
str_m2_o10_o16_pcu_sym.105.res	4.52406	2.82249	4.52406	15198.8	1.45852	826.965	544.099	373.049	0	0	0	223.423	0.0147	0.010079	0	0	0
str_m2_o10_o16_pcu_sym.106.res	4.98603	3.57855	4.86914	14782.9	1.24208	3033.54	2052.06	1652.11	0.116869	0.079057	0.063649	1259.8	0.08522	0.068611	0	0	0
str_m2_o10_o16_pcu_sym.107.res	3.21878	2.2017	3.11211	15424.9	1.594	0	0	0	109.325	70.8759	44.4641	0	0	0	3.70197	0.00024	0.000151
str_m2_o10_o16_pcu_sym.108.res	4.60217	2.47493	4.60209	14860	1.27841	0	0	0	1435.22	965.829	755.492	0	0	0	503.159	0.03386	0.026486
str_m2_o10_o16_pcu_sym.109.res	4.94619	2.91838	4.87148	14887.8	1.27372	2224.31	1494.05	1172.98	0	0	0	828.359	0.05564	0.043683	0	0	0
str_m2_o10_o16_pcu_sym.11.res	5.36018	4.60863	5.36018	14822.2	1.15225	3126.27	2109.18	1830.5	0	0	0	1518.68	0.10246	0.088922	0	0	0
str_m2_o10_o16_pcu_sym.110.res	5.50831	3.72112	5.50806	15233.7	1.16835	2874.07	1886.66	1614.8	0	0	0	1569.07	0.103	0.088158	0	0	0
str_m2_o10_o16_pcu_sym.111.res	5.03702	3.87803	4.97329	14780.2	1.11112	3070.47	2077.41	1869.66	0	0	0	1323.72	0.08956	0.080603	0	0	0
str_m2_o10_o16_pcu_sym.112.res	3.80186	2.01641	3.80186	14764.6	1.71582	0	0	0	555.354	376.138	219.218	0	0	0	77.662	0.00526	0.003066
str_m2_o10_o16_pcu_sym.113.res	5.08243	3.92565	5.08243	15185.5	1.20364	2240.93	1475.71	1226.03	0	0	0	869.521	0.05726	0.047572	0	0	0
str_m2_o10_o16_pcu_sym.114.res	4.65076	2.76518	4.64752	14978.8	1.24815	0	0	0	1924.73	1284.97	1029.5	0	0	0	606.941	0.04052	0.032464
str_m2_o10_o16_pcu_sym.115.res	4.76191	3.24046	4.59629	14966.4	1.62809	2310.46	1543.77	948.209	0	0	0	825.845	0.05518	0.033893	0	0	0
str_m2_o10_o16_pcu_sym.116.res	4.9862	4.11061	4.98611	14832.9	1.13535	2942.83	1983.99	1747.47	0	0	0	1262.58	0.08512	0.074972	0	0	0
str_m2_o10_o16_pcu_sym.117.res	3.86773	2.28257	3.78101	14861.8	1.31043	0	0	0	778.172	523.605	399.567	0	0	0	125.136	0.00842	0.006425
str_m2_o10_o16_pcu_sym.118.res	4.37843	2.4219	4.24479	14729.3	1.3545	0	0	0	962.941	653.757	482.655	0	0	0	246.569	0.01674	0.012359
str_m2_o10_o16_pcu_sym.119.res	4.24322	2.1317	4.24316	14832.6	1.38146	0	0	0	611.449	412.233	298.403	0	0	0	159.302	0.01074	0.007774
str_m2_o10_o16_pcu_sym.12.res	5.37327	4.20695	5.35168	14834.9	1.11501	3306.24	2228.69	1998.8	0	0	0	1622.05	0.10934	0.098062	0	0	0
str_m2_o10_o16_pcu_sym.120.res	5.34047	4.56005	5.34047	14776.2	1.11342	2986.31	2021.03	1815.15	0	0	0	1412.01	0.09556	0.085825	0	0	0
str_m2_o10_o16_pcu_sym.121.res	5.31268	4.56673	5.31268	14747.4	1.15002	2736.03	1855.26	1613.24	0	0	0	1276.54	0.08656	0.075269	0	0	0
str_m2_o10_o16_pcu_sym.122.res	5.32855	4.54944	5.32855	14761	1.33909	2629.64	1781.48	1330.36	0	0	0	1252.62	0.08486	0.063371	0	0	0
str_m2_o10_o16_pcu_sym.123.res	5.25734	3.64193	5.24235	14994.3	1.26252	2799.3	1866.91	1478.72	0	0	0	1169.55	0.078	0.061781	0	0	0
str_m2_o10_o16_pcu_sym.124.res	5.39475	4.64745	5.39469	14833.6	1.19589	2117.58	1427.55	1193.72	0	0	0	960.625	0.06476	0.054152	0	0	0
str_m2_o10_o16_pcu_sym.125.res	4.90796	3.82131	4.70127	14786.5	1.19139	3262.49	2206.39	1851.95	0	0	0	1351.78	0.09142	0.076734	0	0	0
str_m2_o10_o16_pcu_sym.126.res	4.90592	3.62998	4.90154	14822.9	1.18846	3139.23	2117.82	1781.98	0	0	0	1275.96	0.08608	0.07243	0	0	0
str_m2_o10_o16_pcu_sym.127.res	4.96522	3.69939	4.93165	14961.9	1.15367	2577.68	1722.82	1493.34	0	0	0	1128.43	0.07542	0.065374	0	0	0
str_m2_o10_o16_pcu_sym.128.res	5.57585	4.8495	5.57585	15272.4	1.13022	2693.92	1763.92	1560.68	0	0	0	1597.18	0.10458	0.092531	0	0	0
str_m2_o10_o16_pcu_sym.129.res	5.11329	3.17955	5.11329	15031.5	1.22187	2486.72	1654.34	1353.94	0	0	0	978.551	0.0651	0.053279	0	0	0
str_m2_o10_o16_pcu_sym.13.res	5.2937	4.52855	5.2937	14736.1	1.24839	2284.8	1550.47	1241.98	0	0	0	1049.8	0.07124	0.057065	0	0	0
str_m2_o10_o16_pcu_sym.130.res	4.23137	2.95643	3.96481	15179.2	1.4991	1299.15	855.877	570.928	0	0	0	259.564	0.0171	0.011407	0	0	0
str_m2_o10_o16_pcu_sym.131.res	4.8894	3.61671	4.88757	14792.3	1.15457	3235.91	2187.56	1894.7	0	0	0	1322.43	0.0894	0.077431	0	0	0
str_m2_o10_o16_pcu_sym.132.res	5.15671	3.91839	5.15664	14795.7	1.11394	3144.78	2125.46	1908.06	0	0	0	1413.58	0.09554	0.085768	0	0	0
str_m2_o10_o16_pcu_sym.133.res	5.33703	3.4182	5.31921	14827.1	1.18017	2669.03	1800.1	1525.29	0	0	0	1129.82	0.0762	0.064567	0	0	0
str_m2_o10_o16_pcu_sym.134.res	4.61218	2.52313	4.61213	14811	1.70983	0	0	0	1117.65	754.609	441.336	0	0	0	347.763	0.02348	0.013732
str_m2_o10_o16_pcu_sym.135.res	4.78265	3.44435	4.78265	14765.3	1.14064	2596.67	1758.63	1541.79	0	0	0	971.852	0.06582	0.057704	0	0	0
str_m2_o10_o16_pcu_sym.136.res	4.91893	3.79572	4.91892	14792.2	1.14255	2805.83	1896.84	1660.18	0	0	0	1108.82	0.07496	0.065607	0	0	0
str_m2_o10_o16_pcu_sym.137.res	3.39801	2.26651	3.39797	15424.8	2.23843	0	0	0	206.622	133.954	59.8431	0	0	0	13.5738	0.00088	0.000393
str_m2_o10_o16_pcu_sym.138.res	4.42735	2.90799	4.41376	14688.3	1.30954	1667.68	1135.38	867.004	0	0	0	444.174	0.03024	0.023092	0	0	0
str_m2_o10_o16_pcu_sym.139.res	4.86103	3.75853	4.64485	14931.1	1.2488	2868.43	1921.11	1538.36	0	0	0	1041	0.06972	0.055829	0	0	0
str_m2_o10_o16_pcu_sym.14.res	5.41926	4.01853	5.41908	14893.6	1.10464	3215.45	2158.95	1954.43	0	0	0	1543.28	0.10362	0.093804	0	0	0
str_m2_o10_o16_pcu_sym.140.res	5.32012	4.53928	5.31993	14942.6	1.32282	3027.05	2025.79	1531.42	0	0	0	1446.45	0.0968	0.073177	0	0	0
str_m2_o10_o16_pcu_sym.141.res	3.89552	2.40012	3.89538	14694.1	1.71523	0	0	0	819.372	557.62	325.099	0	0	0	149.88	0.0102	0.005947
str_m2_o10_o16_pcu_sym.142.res	5.18577	3.81239	5.18577	14763.1	1.21365	2449.23	1659.01	1366.96	0	0	0	959.604	0.065	0.053557	0	0	0
str_m2_o10_o16_pcu_sym.143.res	5.20372	4.16041	5.18226	15009.4	1.16583	3082.7	2053.84	1761.7	0	0	0	1588.3	0.10582	0.090768	0	0	0
str_m2_o10_o16_pcu_sym.144.res	5.23521	4.53501	5.23519	14816	1.18902	2981.11	2012.09	1692.23	0	0	0	1334.03	0.09004	0.075726	0	0	0
str_m2_o10_o16_pcu_sym.145.res	5.34638	4.00706	5.34615	14872.8	1.11217	3272.7	2200.46	1978.53	0	0	0	1497.99	0.10072	0.090562	0	0	0
str_m2_o10_o16_pcu_sym.146.res	5.39317	4.56492	5.39311	14851.5	1.11377	3275.16	2205.27	1980.01	0	0	0	1620.3	0.1091	0.097956	0	0	0
str_m2_o10_o16_pcu_sym.147.res	5.35976	4.41686	5.35902	14818.8	1.11623	3184.1	2148.69	1924.96	0	0	0	1515.37	0.10226	0.091612	0	0	0
str_m2_o10_o16_pcu_sym.148.res	5.00649	4.21342	5.00649	14884.4	1.16364	2513.99	1689.01	1451.49	0	0	0	959.746	0.06448	0.055412	0	0	0
str_m2_o10_o16_pcu_sym.149.res	4.41373	3.1759	4.40957	14865.6	1.25765	1934.08	1301.04	1034.5	0	0	0	454.592	0.03058	0.024315	0	0	0
str_m2_o10_o16_pcu_sym.15.res	4.86498	3.81285	4.804	14762.1	1.14888	2975.52	2015.66	1754.46	0	0	0	1137.56	0.07706	0.067074	0	0	0
str_m2_o10_o16_pcu_sym.150.res	5.33066	4.559	5.32779	14989.3	1.12556	2996.14	1998.85	1775.87	0	0	0	1477.95	0.0986	0.087601	0	0	0
str_m2_o10_o16_pcu_sym.151.res	4.49705	3.32368	4.49705	15325.9	1.26289	1943.14	1267.88	1003.96	0	0	0	551.731	0.036	0.028506	0	0	0
str_m2_o10_o16_pcu_sym.152.res	5.14124	3.69377	5.10443	14806.3	1.14147	2874.16	1941.18	1700.59	0	0	0	1218.56	0.0823	0.0721	0	0	0
str_m2_o10_o16_pcu_sym.153.res	4.13517	2.19738	3.27769	15053.6	1.98796	0	0	0	552.372	366.938	184.58	0	0	0	117.418	0.0078	0.003924
str_m2_o10_o16_pcu_sym.154.res	5.19958	4.15554	5.14049	14811	1.15311	3053.1	2061.37	1787.65	0	0	0	1376.83	0.09296	0.080616	0	0	0
str_m2_o10_o16_pcu_sym.155.res	5.34435	4.5768	5.34435	14764.5	1.17309	2348.52	1590.65	1355.95	0	0	0	1172.89	0.07944	0.067719	0	0	0
str_m2_o10_o16_pcu_sym.156.res	5.02231	3.64207	4.75438	15094.3	1.55883	2598.22	1721.33	1104.25	0	0	0	1066.86	0.07068	0.045342	0	0	0
str_m2_o10_o16_pcu_sym.157.res	3.8462	2.56153	3.70108	15114.4	1.31627	0	0	0	908.394	601.011	456.603	0	0	0	149.331	0.00988	0.007506
str_m2_o10_o16_pcu_sym.158.res	4.71615	3.13769	4.71603	14887.2	1.35615	1822.05	1223.91	902.482	0	0	0	552.315	0.0371	0.027357	0	0	0
str_m2_o10_o16_pcu_sym.159.res	5.70991	4.24187	5.65506	14783.4	1.14323	2670.51	1806.42	1580.1	0	0	0	1342.63	0.09082	0.079442	0	0	0
str_m2_o10_o16_pcu_sym.16.res	5.36421	4.60281	5.36421	14809.3	1.11694	3174.86	2143.83	1919.38	0	0	0	1534.54	0.10362	0.092771	0	0	0
str_m2_o10_o16_pcu_sym.160.res	5.04193	3.12307	5.04174	15186.8	1.31971	1888.88	1243.76	942.452	0	0	0	855.929	0.05636	0.042707	0	0	0
str_m2_o10_o16_pcu_sym.161.res	4.86865	3.48033	4.84736	14877.1	1.19636	2572.53	1729.19	1445.38	0	0	0	1005.39	0.06758	0.056488	0	0	0
str_m2_o10_o16_pcu_sym.162.res	4.01391	2.24292	3.08337	14962.2	1.68467	0	0	0	592.155	395.768	234.922	0	0	0	108.626	0.00726	0.004309
str_m2_o10_o16_pcu_sym.163.res	5.04918	3.99866	5.04913	14988.1	1.21737	2408.03	1606.63	1319.76	0	0	0	969.73	0.0647	0.053148	0	0	0
str_m2_o10_o16_pcu_sym.164.res	5.50022	4.11538	5.49761	15039	1.21715	3032.97	2016.73	1656.93	0	0	0	1696.7	0.11282	0.092692	0	0	0
str_m2_o10_o16_pcu_sym.165.res	4.93871	3.60228	4.93281	14808.9	1.20187	2185.48	1475.79	1227.91	0	0	0	840.255	0.05674	0.04721	0	0	0
str_m2_o10_o16_pcu_sym.166.res	4.74026	3.53182	4.74003	14819.7	1.25351	1783.04	1203.16	959.832	0	0	0	567.297	0.03828	0.030538	0	0	0
str_m2_o10_o16_pcu_sym.167.res	5.07228	3.90541	5.07228	14796.4	1.1119	3160.21	2135.79	1920.85	0	0	0	1397.67	0.09446	0.084954	0	0	0
str_m2_o10_o16_pcu_sym.168.res	4.85912	3.5694	4.85909	14733	1.14305	2922.27	1983.48	1735.25	0	0	0	1209.58	0.0821	0.071825	0	0	0
str_m2_o10_o16_pcu_sym.169.res	4.19042	2.69757	4.17558	15074.7	1.44275	0	0	0	685.536	454.758	315.203	0	0	0	105.222	0.00698	0.004838
str_m2_o10_o16_pcu_sym.17.res	4.85587	4.24497	4.81938	15036.2	1.4511	1953.5	1299.2	895.321	0	0	0	755.417	0.05024	0.034622	0	0	0
str_m2_o10_o16_pcu_sym.170.res	5.37012	4.15807	5.35714	14827.2	1.14184	2858.29	1927.73	1688.26	0	0	0	1335.34	0.09006	0.078873	0	0	0
str_m2_o10_o16_pcu_sym.171.res	4.16099	2.56777	4.0992	14991.2	1.29912	0	0	0	1341.84	895.09	688.996	0	0	0	228.465	0.01524	0.011731
str_m2_o10_o16_pcu_sym.172.res	5.23315	4.42355	5.13854	14876.7	1.58162	2301.41	1546.99	978.102	0	0	0	1083.92	0.07286	0.046067	0	0	0
str_m2_o10_o16_pcu_sym.173.res	5.45085	3.44934	5.45085	15109.1	1.24529	2148.23	1421.81	1141.75	0	0	0	858.197	0.0568	0.045612	0	0	0
str_m2_o10_o16_pcu_sym.174.res	4.99714	3.68269	4.99714	14790	1.13259	3052.52	2063.91	1822.3	0	0	0	1325.48	0.08962	0.079129	0	0	0
str_m2_o10_o16_pcu_sym.175.res	4.42848	3.40541	4.42848	14882.5	1.61314	2279.63	1531.75	949.549	0	0	0	614.649	0.0413	0.025602	0	0	0
str_m2_o10_o16_pcu_sym.176.res	4.65026	3.61592	4.65001	15055.1	1.30144	1498.68	995.465	764.897	73.5276	48.839	37.527	474.536	0.03152	0.024219	5.72093	0.00038	0.000292
str_m2_o10_o16_pcu_sym.177.res	4.87961	3.71905	4.86214	14974.2	1.18467	2429.39	1622.39	1369.48	0	0	0	1055.68	0.0705	0.05951	0	0	0
str_m2_o10_o16_pcu_sym.178.res	5.15863	3.98973	5.15859	14770.9	1.11582	3240.51	2193.86	1966.14	0	0	0	1474.13	0.0998	0.089441	0	0	0
str_m2_o10_o16_pcu_sym.179.res	4.92168	3.62879	4.91288	14739.3	1.14265	2367.11	1605.98	1405.49	2.37243	1.60959	1.40865	733.429	0.04976	0.043548	0	0	0
str_m2_o10_o16_pcu_sym.18.res	5.52085	4.59887	5.49806	14937	1.12753	2962.62	1983.41	1759.08	0.038956	0.02608	0.023131	1424.4	0.09536	0.084575	0	0	0
str_m2_o10_o16_pcu_sym.180.res	4.92242	3.69288	4.88244	14864.1	1.12694	2895.56	1948.02	1728.6	0	0	0	1117.78	0.0752	0.066729	0	0	0
str_m2_o10_o16_pcu_sym.181.res	5.1763	3.71353	4.94269	14997.3	1.15479	3076.49	2051.37	1776.39	0	0	0	1331.16	0.08876	0.076862	0	0	0
str_m2_o10_o16_pcu_sym.182.res	4.14822	2.8277	3.80516	15129.7	1.53225	1201.57	794.178	518.307	0	0	0	192.752	0.01274	0.008315	0	0	0
str_m2_o10_o16_pcu_sym.183.res	4.95402	3.71379	4.95395	15151.9	1.32464	2248.01	1483.65	1120.04	0	0	0	1022.15	0.06746	0.050927	0	0	0
