	Di	Df	Dif	Unitcell_volume:	Density:	ASA_A^2:	ASA_m^2/cm^3:	ASA_m^2/g:	NASA_A^2:	NASA_m^2/cm^3:	NASA_m^2/g:	AV_A^3:	AV_Volume_fraction:	AV_cm^3/g:	NAV_A^3:	NAV_Volume_fraction:	NAV_cm^3/g:
str_m1_o10_o18_pcu_sym.140.res	6.75069	4.66552	5.98102	35463.4	1.161	9479.88	2673.14	2302.44	0	0	0	6187.66	0.17448	0.150284	0	0	0
str_m1_o10_o18_pcu_sym.141.res	8.10757	6.27494	8.10738	35779.5	0.77031	9764.03	2728.95	3542.66	0	0	0	10507.7	0.29368	0.381249	0	0	0
str_m1_o10_o18_pcu_sym.142.res	7.99094	6.08432	7.95024	35674.4	0.713817	10482.5	2938.39	4116.44	0	0	0	12885.6	0.3612	0.506012	0	0	0
str_m1_o10_o18_pcu_sym.143.res	7.71988	5.93199	7.7198	35716.7	0.80258	9504.4	2661.05	3315.62	0.054679	0.015309	0.019075	10060.7	0.28168	0.350968	0	0	0
str_m1_o10_o18_pcu_sym.144.res	6.54451	3.8024	6.54445	35685.7	0.980184	8371.4	2345.87	2393.29	0	0	0	4565.63	0.12794	0.130527	0	0	0
str_m1_o10_o18_pcu_sym.145.res	6.86455	5.39035	6.86412	35583.7	0.836788	8683.84	2440.4	2916.39	0	0	0	8733.65	0.24544	0.293312	0	0	0
str_m1_o10_o18_pcu_sym.146.res	6.20528	3.5312	6.20528	35373.5	1.12388	7449.62	2105.99	1873.86	0	0	0	3584.75	0.10134	0.09017	0	0	0
str_m1_o10_o18_pcu_sym.147.res	7.77016	5.97146	7.77005	35666.4	0.722427	10270.4	2879.58	3985.99	0	0	0	11846.2	0.33214	0.459756	0	0	0
str_m1_o10_o18_pcu_sym.148.res	8.39531	6.39137	8.39516	35600.9	0.820903	10147	2850.21	3472.04	0	0	0	11970.5	0.33624	0.409598	0	0	0
str_m1_o10_o18_pcu_sym.149.res	7.42651	5.69685	7.42628	35686.4	0.769843	10292.5	2884.15	3746.41	0	0	0	9468.32	0.26532	0.344642	0	0	0
str_m1_o10_o18_pcu_sym.15.res	7.39287	6.2033	6.89713	35544.7	0.937387	9616.07	2705.35	2886.05	0	0	0	9592.79	0.26988	0.287907	0	0	0
str_m1_o10_o18_pcu_sym.150.res	6.94316	4.32972	6.91919	35624.7	0.869351	9936.58	2789.24	3208.41	0	0	0	7105.7	0.19946	0.229435	0	0	0
str_m1_o10_o18_pcu_sym.151.res	7.74249	5.59664	7.7423	35753.8	0.749099	10784.8	3016.41	4026.71	0	0	0	10914.9	0.30528	0.40753	0	0	0
