                    Materials Name  Unnamed: 1  Unnamed: 2  Unnamed: 3      10kPa  Unnamed: 5    10kPa.1  Unnamed: 7     100kPa  Unnamed: 9  Unnamed: 10        10kPa.2      10kPa.3      100kPa.1  Unnamed: 14  363K,100kPa¡ú363K,10kPa  298K,10kPa¡ú363K,10kPa  298K,10kPa¡ú363K,100kPa
123    str_m1_o10_o16_pcu_s_ID_124     14615.7     14.6157         NaN   0.011768    6.873567   0.004550    4.716675   0.012268    6.373024          NaN       1.710378     0.963677      1.923006          NaN                0.007718               0.007218                     NaN
124    str_m1_o10_o16_pcu_s_ID_125     15949.1     15.9491         NaN   0.014546    4.980808   0.002502    3.590667   0.006339    4.685543          NaN       2.917545     0.696029      1.351514          NaN                0.003837               0.012045                     NaN
125    str_m1_o10_o16_pcu_s_ID_126     15281.4     15.2814         NaN   0.005719    6.077585   0.002598    5.464270   0.006328    6.101201          NaN       0.940119     0.474964      1.036128          NaN                0.003730               0.003121                     NaN
126    str_m1_o10_o16_pcu_s_ID_127     15441.6     15.4416         NaN   0.002293    6.482411   0.003691    5.224951   0.000576    6.325815          NaN       0.353297     0.705774      0.091022          NaN               -0.003115              -0.001399                     NaN
127    str_m1_o10_o16_pcu_s_ID_128     16109.3     16.1093         NaN   0.000801    5.897122   0.002570    5.277883   0.004414    5.830030          NaN       0.135656     0.486440      0.756289          NaN                0.001844              -0.001769                     NaN
128    str_m1_o10_o16_pcu_s_ID_129     22096.6     22.0966         NaN   0.010612    4.091657   0.002792    3.837287   0.005833    4.111379          NaN       2.591097     0.726944      1.417442          NaN                0.003041               0.007820                     NaN
12      str_m1_o10_o16_pcu_s_ID_13     16234.8     16.2348         NaN   0.012368    5.225491   0.003622    3.651280   0.005790    5.070484          NaN       2.364586     0.990948      1.140767          NaN                0.002168               0.008747                     NaN
129    str_m1_o10_o16_pcu_s_ID_130     15407.1     15.4071         NaN   0.023995    6.354408   0.002408    5.409779   0.021529    6.475638          NaN       3.772410     0.444671      3.321295          NaN                0.019121               0.021587                     NaN
130    str_m1_o10_o16_pcu_s_ID_131     13858.3     13.8583         NaN   0.022247    8.090040   0.005174    6.462012   0.007750    8.090033          NaN       2.747125     0.799847      0.956995          NaN                0.002576               0.017073                     NaN
131    str_m1_o10_o16_pcu_s_ID_132     15010.2     15.0102         NaN   0.005749    6.932546   0.003598    5.233455   0.008674    6.742408          NaN       0.828509     0.686727      1.285212          NaN                0.005077               0.002152                     NaN
132    str_m1_o10_o16_pcu_s_ID_133     14110.7     14.1107         NaN   0.054576    7.515559   0.003855    6.103879   0.004394    7.595980          NaN       7.254421     0.630972      0.577863          NaN                0.000539               0.050720                     NaN
133    str_m1_o10_o16_pcu_s_ID_134     14651.2     14.6512         NaN   0.020360    7.105357   0.004744    5.735250   0.007528    6.930224          NaN       2.862593     0.826275      1.085227          NaN                0.002785               0.015616                     NaN
134    str_m1_o10_o16_pcu_s_ID_135     16130.6     16.1306         NaN   0.001978    4.563649   0.003732    3.369001   0.002957    4.363681          NaN       0.432906     1.106650      0.676987          NaN               -0.000775              -0.001754                     NaN
135    str_m1_o10_o16_pcu_s_ID_136     15011.1     15.0111         NaN   0.000200    6.422021   0.003484    5.222922   0.004597    6.156837          NaN       0.031089     0.666409      0.745838          NaN                0.001113              -0.003284                     NaN
136    str_m1_o10_o16_pcu_s_ID_137     16124.4     16.1244         NaN   0.007268    6.872436   0.004664    5.599495   0.008391    6.434100          NaN       1.056571     0.832053      1.302843          NaN                0.003727               0.002605                     NaN
