MaterialsName                10.0kPa        100.0kPa       

str_m2_o10_o16_pcu_s_ID_1     0.0000         0.0007         
str_m2_o10_o16_pcu_s_ID_10    0.0671         0.1399         
str_m2_o10_o16_pcu_s_ID_100   0.0092         0.0094         
str_m2_o10_o16_pcu_s_ID_101   0.0279         0.0000         
str_m2_o10_o16_pcu_s_ID_102   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_105   0.0020         0.0189         
str_m2_o10_o16_pcu_s_ID_106   0.0557         0.1946         
str_m2_o10_o16_pcu_s_ID_107   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_109   0.9869         1.0000         
str_m2_o10_o16_pcu_s_ID_11    1.0000         1.0000         
str_m2_o10_o16_pcu_s_ID_110   0.0000         0.0145         
str_m2_o10_o16_pcu_s_ID_111   0.0917         0.1441         
str_m2_o10_o16_pcu_s_ID_112   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_113   0.0606         0.0000         
str_m2_o10_o16_pcu_s_ID_114   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_115   0.0171         0.0860         
str_m2_o10_o16_pcu_s_ID_116   0.0303         0.0001         
str_m2_o10_o16_pcu_s_ID_117   0.0282         0.0000         
str_m2_o10_o16_pcu_s_ID_118   0.0146         0.0000         
str_m2_o10_o16_pcu_s_ID_119   0.1166         0.2034         
str_m2_o10_o16_pcu_s_ID_12    0.0015         0.0197         
str_m2_o10_o16_pcu_s_ID_120   0.0000         0.0006         
str_m2_o10_o16_pcu_s_ID_121   0.0296         0.0395         
str_m2_o10_o16_pcu_s_ID_122   0.0048         0.0363         
str_m2_o10_o16_pcu_s_ID_123   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_125   0.0287         0.2313         
str_m2_o10_o16_pcu_s_ID_126   0.0115         0.1108         
str_m2_o10_o16_pcu_s_ID_127   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_128   0.0067         0.0153         
str_m2_o10_o16_pcu_s_ID_129   0.0298         0.1304         
str_m2_o10_o16_pcu_s_ID_13    0.0588         1.6486         
str_m2_o10_o16_pcu_s_ID_130   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_131   0.0347         0.0133         
str_m2_o10_o16_pcu_s_ID_132   0.0064         0.0227         
str_m2_o10_o16_pcu_s_ID_133   0.0084         0.0001         
str_m2_o10_o16_pcu_s_ID_134   0.0041         0.0000         
str_m2_o10_o16_pcu_s_ID_135   0.0001         0.0016         
str_m2_o10_o16_pcu_s_ID_136   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_137   0.0039         0.0204         
str_m2_o10_o16_pcu_s_ID_138   0.0054         0.0000         
str_m2_o10_o16_pcu_s_ID_139   0.0248         0.0000         
str_m2_o10_o16_pcu_s_ID_14    0.0050         0.0689         
str_m2_o10_o16_pcu_s_ID_140   0.0534         0.0347         
str_m2_o10_o16_pcu_s_ID_141   0.0081         0.0411         
str_m2_o10_o16_pcu_s_ID_142   0.0114         0.0000         
str_m2_o10_o16_pcu_s_ID_143   0.0244         0.0922         
str_m2_o10_o16_pcu_s_ID_144   0.0093         0.0359         
str_m2_o10_o16_pcu_s_ID_145   0.0083         0.0789         
str_m2_o10_o16_pcu_s_ID_146   0.0733         0.1080         
str_m2_o10_o16_pcu_s_ID_147   0.0000         0.0021         
str_m2_o10_o16_pcu_s_ID_148   0.0296         0.0000         
str_m2_o10_o16_pcu_s_ID_149   0.0305         0.0295         
str_m2_o10_o16_pcu_s_ID_15    0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_150   0.0111         0.0464         
str_m2_o10_o16_pcu_s_ID_151   0.0130         0.0063         
str_m2_o10_o16_pcu_s_ID_152   0.0000         0.0014         
str_m2_o10_o16_pcu_s_ID_153   0.0383         0.4844         
str_m2_o10_o16_pcu_s_ID_154   0.0023         0.0000         
str_m2_o10_o16_pcu_s_ID_155   0.0174         0.0003         
str_m2_o10_o16_pcu_s_ID_156   0.0702         0.0019         
str_m2_o10_o16_pcu_s_ID_157   0.0014         1.6126         
str_m2_o10_o16_pcu_s_ID_158   0.0141         0.0105         
str_m2_o10_o16_pcu_s_ID_159   0.0055         0.0291         
str_m2_o10_o16_pcu_s_ID_16    0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_160   0.0051         0.1821         
str_m2_o10_o16_pcu_s_ID_161   0.0305         0.0001         
str_m2_o10_o16_pcu_s_ID_162   0.0375         0.0822         
str_m2_o10_o16_pcu_s_ID_163   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_164   0.0323         0.1143         
str_m2_o10_o16_pcu_s_ID_165   0.0079         0.0836         
str_m2_o10_o16_pcu_s_ID_166   0.0011         0.0025         
str_m2_o10_o16_pcu_s_ID_167   0.0434         0.2172         
str_m2_o10_o16_pcu_s_ID_168   0.0000         0.0001         
str_m2_o10_o16_pcu_s_ID_169   0.0146         0.0199         
str_m2_o10_o16_pcu_s_ID_17    0.0006         0.0314         
str_m2_o10_o16_pcu_s_ID_170   0.0142         0.0001         
str_m2_o10_o16_pcu_s_ID_171   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_172   0.0029         0.0474         
str_m2_o10_o16_pcu_s_ID_173   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_174   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_175   0.0675         0.0000         
str_m2_o10_o16_pcu_s_ID_176   0.0031         0.0016         
str_m2_o10_o16_pcu_s_ID_177   0.2047         0.7270         
str_m2_o10_o16_pcu_s_ID_178   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_179   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_18    0.0000         0.0008         
str_m2_o10_o16_pcu_s_ID_180   0.0603         0.0000         
str_m2_o10_o16_pcu_s_ID_181   1.0147         1.1094         
str_m2_o10_o16_pcu_s_ID_182   0.0290         0.0000         
str_m2_o10_o16_pcu_s_ID_183   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_184   0.0275         0.0782         
str_m2_o10_o16_pcu_s_ID_185   0.0282         0.2742         
str_m2_o10_o16_pcu_s_ID_186   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_187   0.0179         0.0000         
str_m2_o10_o16_pcu_s_ID_188   0.0004         0.0000         
str_m2_o10_o16_pcu_s_ID_189   0.0297         0.1946         
str_m2_o10_o16_pcu_s_ID_19    0.0200         0.1241         
str_m2_o10_o16_pcu_s_ID_190   0.0002         0.0041         
str_m2_o10_o16_pcu_s_ID_191   0.0704         0.0555         
str_m2_o10_o16_pcu_s_ID_192   0.0071         0.0007         
str_m2_o10_o16_pcu_s_ID_193   0.0156         0.1285         
str_m2_o10_o16_pcu_s_ID_194   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_195   0.0057         0.0088         
str_m2_o10_o16_pcu_s_ID_196   0.0000         0.0000         
