MaterialsName                10.0kPa        

str_m2_o10_o16_pcu_s_ID_1     0.9852         
str_m2_o10_o16_pcu_s_ID_10    3.0368         
str_m2_o10_o16_pcu_s_ID_100   0.0504         
str_m2_o10_o16_pcu_s_ID_101   1.6896         
str_m2_o10_o16_pcu_s_ID_102   4.6891         
str_m2_o10_o16_pcu_s_ID_103   0.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         
str_m2_o10_o16_pcu_s_ID_105   0.0567         
str_m2_o10_o16_pcu_s_ID_106   4.5247         
str_m2_o10_o16_pcu_s_ID_107   3.3052         
str_m2_o10_o16_pcu_s_ID_108   0.0000         
str_m2_o10_o16_pcu_s_ID_109   3.9751         
str_m2_o10_o16_pcu_s_ID_11    1.0000         
str_m2_o10_o16_pcu_s_ID_110   2.8433         
str_m2_o10_o16_pcu_s_ID_111   1.6530         
str_m2_o10_o16_pcu_s_ID_112   4.8368         
str_m2_o10_o16_pcu_s_ID_113   0.9611         
str_m2_o10_o16_pcu_s_ID_114   0.0000         
str_m2_o10_o16_pcu_s_ID_115   1.5093         
str_m2_o10_o16_pcu_s_ID_116   0.0002         
str_m2_o10_o16_pcu_s_ID_117   0.6472         
str_m2_o10_o16_pcu_s_ID_118   1.9456         
str_m2_o10_o16_pcu_s_ID_119   1.0810         
str_m2_o10_o16_pcu_s_ID_12    0.1745         
str_m2_o10_o16_pcu_s_ID_120   0.0005         
str_m2_o10_o16_pcu_s_ID_121   0.0005         
str_m2_o10_o16_pcu_s_ID_122   0.2345         
str_m2_o10_o16_pcu_s_ID_123   0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         
str_m2_o10_o16_pcu_s_ID_125   5.0611         
str_m2_o10_o16_pcu_s_ID_126   0.3333         
str_m2_o10_o16_pcu_s_ID_127   0.0000         
str_m2_o10_o16_pcu_s_ID_128   0.9647         
str_m2_o10_o16_pcu_s_ID_129   0.2978         
str_m2_o10_o16_pcu_s_ID_13    8.4496         
str_m2_o10_o16_pcu_s_ID_130   0.0000         
str_m2_o10_o16_pcu_s_ID_131   0.1111         
str_m2_o10_o16_pcu_s_ID_132   1.9562         
str_m2_o10_o16_pcu_s_ID_133   1.3438         
str_m2_o10_o16_pcu_s_ID_134   0.0004         
str_m2_o10_o16_pcu_s_ID_135   0.0033         
str_m2_o10_o16_pcu_s_ID_136   0.0000         
str_m2_o10_o16_pcu_s_ID_137   0.0900         
str_m2_o10_o16_pcu_s_ID_138   0.6595         
str_m2_o10_o16_pcu_s_ID_139   0.0022         
str_m2_o10_o16_pcu_s_ID_14    0.0085         
str_m2_o10_o16_pcu_s_ID_140   1.2916         
str_m2_o10_o16_pcu_s_ID_141   0.4758         
str_m2_o10_o16_pcu_s_ID_142   3.1308         
str_m2_o10_o16_pcu_s_ID_143   0.5132         
str_m2_o10_o16_pcu_s_ID_144   0.1897         
str_m2_o10_o16_pcu_s_ID_145   0.0384         
str_m2_o10_o16_pcu_s_ID_146   0.0000         
str_m2_o10_o16_pcu_s_ID_147   1.7906         
str_m2_o10_o16_pcu_s_ID_148   0.8229         
str_m2_o10_o16_pcu_s_ID_149   0.0000         
str_m2_o10_o16_pcu_s_ID_15    0.0000         
str_m2_o10_o16_pcu_s_ID_150   0.2007         
str_m2_o10_o16_pcu_s_ID_151   0.9857         
str_m2_o10_o16_pcu_s_ID_152   0.0073         
