MaterialsName                 0.01kPa        0.1kPa         

str_m2_o10_o16_pcu_s_ID_1     -37.1169       -54.1841       
str_m2_o10_o16_pcu_s_ID_10    -41.0217       -60.9301       
str_m2_o10_o16_pcu_s_ID_100   -26.8515       -47.9157       
str_m2_o10_o16_pcu_s_ID_101   -24.0682       -52.4163       
str_m2_o10_o16_pcu_s_ID_102   -38.9850       -56.7268       
str_m2_o10_o16_pcu_s_ID_103   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_104   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_105   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_106   -10.7613       -41.2460       
str_m2_o10_o16_pcu_s_ID_107   -28.1516       -53.2488       
str_m2_o10_o16_pcu_s_ID_108   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_109   -67.0540       -65.2421       
str_m2_o10_o16_pcu_s_ID_11    -70.1988       -67.0844       
str_m2_o10_o16_pcu_s_ID_110   -24.1363       -50.8900       
str_m2_o10_o16_pcu_s_ID_111   -37.7222       -52.6014       
str_m2_o10_o16_pcu_s_ID_112   -37.2793       -54.6776       
str_m2_o10_o16_pcu_s_ID_113   -28.0978       -51.5945       
str_m2_o10_o16_pcu_s_ID_114   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_115   -38.5907       -54.9381       
str_m2_o10_o16_pcu_s_ID_116   -16.9786       -44.1750       
str_m2_o10_o16_pcu_s_ID_117   -30.0089       -51.6831       
str_m2_o10_o16_pcu_s_ID_118   -11.5225       -41.1570       
str_m2_o10_o16_pcu_s_ID_119   -73.9434       -70.5340       
str_m2_o10_o16_pcu_s_ID_12    -19.2511       -45.0279       
str_m2_o10_o16_pcu_s_ID_120   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_121   -19.1694       -47.3021       
str_m2_o10_o16_pcu_s_ID_122   0.0000         -5.1114        
str_m2_o10_o16_pcu_s_ID_123   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_124   0.0000         0.0000         
str_m2_o10_o16_pcu_s_ID_125   -17.8808       -48.0906       
